id,raiz_spacy,sujeto_spacy,objeto_spacy,dependencias_principales
40,detectó,sistema|archivo,inconsistencias|columnas,sistema->El:det; detectó->sistema:nsubj; detectó->detectó:ROOT; detectó->inconsistencias:obj; tenía->cuando:mark; archivo->el:det; tenía->archivo:nsubj; detectó->tenía:advcl; tenía->columnas:obj; columnas->incompletas:amod
41,falló,interpretación|contexto,,interpretación->La:det; falló->interpretación:nsubj; interpretación->automática:amod; falló->falló:ROOT; insuficiente->porque:mark; contexto->el:det; insuficiente->contexto:nsubj; insuficiente->era:cop; falló->insuficiente:advcl
42,produjo,modelo|que,resultados,modelo->El:det; produjo->modelo:nsubj; entrenado->que:nsubj; entrenado->fue:aux; modelo->entrenado:acl; datos->con:case; datos->pocos:det; entrenado->datos:obl; produjo->produjo:ROOT; produjo->resultados:obj; resultados->inestables:amod
43,oración,,que|contenía|estructura,oración->La:det; oración->oración:ROOT; parecía->que:obj; oración->parecía:acl; contenía->simple:amod; parecía->contenía:obj; estructura->una:det; parecía->estructura:obj; estructura->subordinada:amod
44,rechazado,reporte,técnica,reporte->El:det; rechazado->reporte:nsubj; rechazado->fue:aux; rechazado->rechazado:ROOT; incluía->porque:mark; incluía->no:advmod; rechazado->incluía:advcl; incluía->evidencia:ccomp; evidencia->técnica:obj; rechazado->suficiente:advmod
45,identificó,herramienta|oración,raíz|verbos,herramienta->La:det; identificó->herramienta:nsubj; identificó->identificó:ROOT; raíz->una:det; identificó->raíz:obj; raíz->incorrecta:amod; tenía->cuando:mark; oración->la:det; tenía->oración:nsubj; identificó->tenía:advcl; verbos->varios:det; tenía->verbos:obj
46,tenían,documentos|que,formatos,documentos->Los:det; tenían->documentos:nsubj; procesados->que:nsubj; procesados->fueron:aux; documentos->procesados:acl; práctica->durante:case; práctica->la:det; procesados->práctica:obl; tenían->tenían:ROOT; tenían->formatos:obj; formatos->distintos:amod
47,falló,análisis|oración,,análisis->El:det; falló->análisis:nsubj; falló->falló:ROOT; correcta->aunque:mark; oración->la:det; correcta->oración:nsubj; correcta->era:cop; falló->correcta:ccomp; español->en:case; correcta->español:nmod
48,reconoció,parser,estructura|regla,parser->El:det; reconoció->parser:nsubj; reconoció->no:advmod; reconoció->reconoció:ROOT; estructura->la:det; reconoció->estructura:obj; faltaba->porque:mark; reconoció->faltaba:advcl; regla->una:det; faltaba->regla:obj; producción->de:case; regla->producción:nmod
49,parecía,salida|interpretación,válida,salida->La:det; parecía->salida:nsubj; salida->automática:amod; parecía->parecía:ROOT; parecía->válida:obj; diferente->aunque:mark; interpretación->la:det; diferente->interpretación:nsubj; interpretación->humana:amod; diferente->era:cop; parecía->diferente:advcl
50,generó,sistema|contexto,relación,sistema->El:det; generó->sistema:nsubj; generó->generó:ROOT; relación->una:det; generó->relación:obj; relación->sintáctica:amod; relación->incorrecta:amod; era->porque:mark; contexto->el:det; era->contexto:nsubj; era->no:advmod; generó->era:advcl; generó->explícito:advcl
