id,texto,dominio,etiqueta,grupo_relevancia
85,Mi cuenta quedó bloqueada después de varios intentos de inicio de sesión.,tecnologia,soporte_tecnico,tecnologia_acceso
86,La plataforma no reconoce mis credenciales desde esta mañana hoy.,tecnologia,soporte_tecnico,tecnologia_acceso
87,"Necesito restablecer la clave porque no puedo entrar al portal, hoy.",tecnologia,soporte_tecnico,tecnologia_acceso
88,El acceso institucional muestra un mensaje de usuario no autorizado.,tecnologia,soporte_tecnico,tecnologia_acceso
89,Puedo abrir el sitio pero la sesión se cierra inmediatamente hoy.,tecnologia,soporte_tecnico,tecnologia_acceso
90,"No recibo el correo para recuperar mi contraseña de acceso, hoy.",tecnologia,soporte_tecnico,tecnologia_acceso
91,No puedo ingresar a la plataforma aunque mi usuario es correcto.,tecnologia,soporte_tecnico,tecnologia_acceso
92,El sistema rechaza mi contraseña y necesito recuperar el acceso esta semana.,tecnologia,soporte_tecnico,tecnologia_acceso
93,"Mi cuenta quedó bloqueada después de varios intentos de inicio de sesión, esta semana.",tecnologia,soporte_tecnico,tecnologia_acceso
94,La plataforma no reconoce mis credenciales desde esta mañana.,tecnologia,soporte_tecnico,tecnologia_acceso
95,Necesito restablecer la clave porque no puedo entrar al portal esta semana.,tecnologia,soporte_tecnico,tecnologia_acceso
96,"El acceso institucional muestra un mensaje de usuario no autorizado, esta semana.",tecnologia,soporte_tecnico,tecnologia_acceso
97,Puedo abrir el sitio pero la sesión se cierra inmediatamente.,tecnologia,soporte_tecnico,tecnologia_acceso
98,No recibo el correo para recuperar mi contraseña de acceso esta semana.,tecnologia,soporte_tecnico,tecnologia_acceso
99,"No puedo ingresar a la plataforma aunque mi usuario es correcto, desde ayer.",tecnologia,soporte_tecnico,tecnologia_acceso
100,El sistema rechaza mi contraseña y necesito recuperar el acceso.,tecnologia,soporte_tecnico,tecnologia_acceso
101,Mi cuenta quedó bloqueada después de varios intentos de inicio de sesión desde ayer.,tecnologia,soporte_tecnico,tecnologia_acceso
102,"La plataforma no reconoce mis credenciales desde esta mañana, desde ayer.",tecnologia,soporte_tecnico,tecnologia_acceso
103,Necesito restablecer la clave porque no puedo entrar al portal.,tecnologia,soporte_tecnico,tecnologia_acceso
104,El acceso institucional muestra un mensaje de usuario no autorizado desde ayer.,tecnologia,soporte_tecnico,tecnologia_acceso
105,"Puedo abrir el sitio pero la sesión se cierra inmediatamente, desde ayer.",tecnologia,soporte_tecnico,tecnologia_acceso
106,No recibo el correo para recuperar mi contraseña de acceso.,tecnologia,soporte_tecnico,tecnologia_acceso
107,No puedo ingresar a la plataforma aunque mi usuario es correcto antes del cierre.,tecnologia,soporte_tecnico,tecnologia_acceso
108,"El sistema rechaza mi contraseña y necesito recuperar el acceso, antes del cierre.",tecnologia,soporte_tecnico,tecnologia_acceso
109,La plataforma no reconoce mis credenciales desde esta mañana antes del cierre.,tecnologia,soporte_tecnico,tecnologia_acceso
110,"Necesito restablecer la clave porque no puedo entrar al portal, antes del cierre.",tecnologia,soporte_tecnico,tecnologia_acceso
111,Puedo abrir el sitio pero la sesión se cierra inmediatamente antes del cierre.,tecnologia,soporte_tecnico,tecnologia_acceso
112,"No recibo el correo para recuperar mi contraseña de acceso, antes del cierre.",tecnologia,soporte_tecnico,tecnologia_acceso
113,El sistema rechaza mi contraseña y necesito recuperar el acceso en el portal institucional.,tecnologia,soporte_tecnico,tecnologia_acceso
114,"Mi cuenta quedó bloqueada después de varios intentos de inicio de sesión, en el portal institucional.",tecnologia,soporte_tecnico,tecnologia_acceso
115,Necesito restablecer la clave porque no puedo entrar al portal en el portal institucional.,tecnologia,soporte_tecnico,tecnologia_acceso
116,"El acceso institucional muestra un mensaje de usuario no autorizado, en el portal institucional.",tecnologia,soporte_tecnico,tecnologia_acceso
117,No recibo el correo para recuperar mi contraseña de acceso en el portal institucional.,tecnologia,soporte_tecnico,tecnologia_acceso
118,"No puedo ingresar a la plataforma aunque mi usuario es correcto, para este periodo.",tecnologia,soporte_tecnico,tecnologia_acceso
119,Mi cuenta quedó bloqueada después de varios intentos de inicio de sesión para este periodo.,tecnologia,soporte_tecnico,tecnologia_acceso
120,"La plataforma no reconoce mis credenciales desde esta mañana, para este periodo.",tecnologia,soporte_tecnico,tecnologia_acceso
121,Todos los usuarios no pudieron guardar el formulario después de la actualización.,tecnologia,soporte_tecnico,tecnologia_error
122,El módulo nuevo corrigió el error del registro con la herramienta anterior.,tecnologia,soporte_tecnico,tecnologia_error
123,La plataforma muestra un error al guardar la información del formulario hoy.,tecnologia,soporte_tecnico,tecnologia_error
124,"El sistema se detiene cuando intento cargar un archivo PDF, hoy.",tecnologia,soporte_tecnico,tecnologia_error
125,Aparece una excepción después de presionar el botón de enviar.,tecnologia,soporte_tecnico,tecnologia_error
126,El portal funciona hasta que intento descargar mi comprobante hoy.,tecnologia,soporte_tecnico,tecnologia_error
127,"La aplicación muestra una pantalla vacía después de iniciar sesión, hoy.",tecnologia,soporte_tecnico,tecnologia_error
128,El sistema genera un error al actualizar mis datos personales.,tecnologia,soporte_tecnico,tecnologia_error
129,No puedo finalizar el proceso porque el módulo deja de responder hoy.,tecnologia,soporte_tecnico,tecnologia_error
130,"La página muestra un mensaje técnico cuando intento consultar resultados, hoy.",tecnologia,soporte_tecnico,tecnologia_error
131,La plataforma muestra un error al guardar la información del formulario.,tecnologia,soporte_tecnico,tecnologia_error
132,El sistema se detiene cuando intento cargar un archivo PDF esta semana.,tecnologia,soporte_tecnico,tecnologia_error
133,"Aparece una excepción después de presionar el botón de enviar, esta semana.",tecnologia,soporte_tecnico,tecnologia_error
134,El portal funciona hasta que intento descargar mi comprobante.,tecnologia,soporte_tecnico,tecnologia_error
135,La aplicación muestra una pantalla vacía después de iniciar sesión esta semana.,tecnologia,soporte_tecnico,tecnologia_error
136,"El sistema genera un error al actualizar mis datos personales, esta semana.",tecnologia,soporte_tecnico,tecnologia_error
137,No puedo finalizar el proceso porque el módulo deja de responder.,tecnologia,soporte_tecnico,tecnologia_error
138,La página muestra un mensaje técnico cuando intento consultar resultados esta semana.,tecnologia,soporte_tecnico,tecnologia_error
139,"La plataforma muestra un error al guardar la información del formulario, desde ayer.",tecnologia,soporte_tecnico,tecnologia_error
140,El sistema se detiene cuando intento cargar un archivo PDF.,tecnologia,soporte_tecnico,tecnologia_error
141,Aparece una excepción después de presionar el botón de enviar desde ayer.,tecnologia,soporte_tecnico,tecnologia_error
142,"El portal funciona hasta que intento descargar mi comprobante, desde ayer.",tecnologia,soporte_tecnico,tecnologia_error
143,La aplicación muestra una pantalla vacía después de iniciar sesión.,tecnologia,soporte_tecnico,tecnologia_error
144,El sistema genera un error al actualizar mis datos personales desde ayer.,tecnologia,soporte_tecnico,tecnologia_error
145,"No puedo finalizar el proceso porque el módulo deja de responder, desde ayer.",tecnologia,soporte_tecnico,tecnologia_error
146,La página muestra un mensaje técnico cuando intento consultar resultados.,tecnologia,soporte_tecnico,tecnologia_error
147,La plataforma muestra un error al guardar la información del formulario antes del cierre.,tecnologia,soporte_tecnico,tecnologia_error
148,"El sistema se detiene cuando intento cargar un archivo PDF, antes del cierre.",tecnologia,soporte_tecnico,tecnologia_error
149,El portal funciona hasta que intento descargar mi comprobante antes del cierre.,tecnologia,soporte_tecnico,tecnologia_error
150,"La aplicación muestra una pantalla vacía después de iniciar sesión, antes del cierre.",tecnologia,soporte_tecnico,tecnologia_error
151,No puedo finalizar el proceso porque el módulo deja de responder antes del cierre.,tecnologia,soporte_tecnico,tecnologia_error
152,"La página muestra un mensaje técnico cuando intento consultar resultados, antes del cierre.",tecnologia,soporte_tecnico,tecnologia_error
153,El sistema se detiene cuando intento cargar un archivo PDF en el portal institucional.,tecnologia,soporte_tecnico,tecnologia_error
154,"Aparece una excepción después de presionar el botón de enviar, en el portal institucional.",tecnologia,soporte_tecnico,tecnologia_error
155,La aplicación muestra una pantalla vacía después de iniciar sesión en el portal institucional.,tecnologia,soporte_tecnico,tecnologia_error
156,"El sistema genera un error al actualizar mis datos personales, en el portal institucional.",tecnologia,soporte_tecnico,tecnologia_error
157,La página muestra un mensaje técnico cuando intento consultar resultados en el portal institucional.,tecnologia,soporte_tecnico,tecnologia_error
158,"La plataforma muestra un error al guardar la información del formulario, para este periodo.",tecnologia,soporte_tecnico,tecnologia_error
159,Aparece una excepción después de presionar el botón de enviar para este periodo.,tecnologia,soporte_tecnico,tecnologia_error
160,"El portal funciona hasta que intento descargar mi comprobante, para este periodo.",tecnologia,soporte_tecnico,tecnologia_error
161,"No puedo terminar la inscripción porque la plataforma rechaza mi acceso, pero mi objetivo es registrar las materias.",educacion,tramite,educacion_inscripcion
162,Quiero realizar mi inscripción al siguiente periodo académico hoy.,educacion,tramite,educacion_inscripcion
163,"Necesito completar el registro de materias para el nuevo cuatrimestre, hoy.",educacion,tramite,educacion_inscripcion
164,¿Qué pasos debo seguir para formalizar mi inscripción?,educacion,tramite,educacion_inscripcion
165,La plataforma me pide confirmar mi carga académica antes de inscribirme hoy.,educacion,tramite,educacion_inscripcion
166,"Necesito actualizar una materia dentro de mi proceso de inscripción, hoy.",educacion,tramite,educacion_inscripcion
167,Quiero saber cómo registrar oficialmente mis asignaturas.,educacion,tramite,educacion_inscripcion
168,¿Dónde entrego los documentos necesarios para la inscripción hoy.,educacion,tramite,educacion_inscripcion
169,"Necesito corregir un dato antes de concluir mi registro académico, hoy.",educacion,tramite,educacion_inscripcion
170,Quiero realizar mi inscripción al siguiente periodo académico.,educacion,tramite,educacion_inscripcion
171,Necesito completar el registro de materias para el nuevo cuatrimestre esta semana.,educacion,tramite,educacion_inscripcion
172,"¿Qué pasos debo seguir para formalizar mi inscripción, esta semana.",educacion,tramite,educacion_inscripcion
173,La plataforma me pide confirmar mi carga académica antes de inscribirme.,educacion,tramite,educacion_inscripcion
174,Necesito actualizar una materia dentro de mi proceso de inscripción esta semana.,educacion,tramite,educacion_inscripcion
175,"Quiero saber cómo registrar oficialmente mis asignaturas, esta semana.",educacion,tramite,educacion_inscripcion
176,¿Dónde entrego los documentos necesarios para la inscripción?,educacion,tramite,educacion_inscripcion
177,Necesito corregir un dato antes de concluir mi registro académico esta semana.,educacion,tramite,educacion_inscripcion
178,"Quiero realizar mi inscripción al siguiente periodo académico, desde ayer.",educacion,tramite,educacion_inscripcion
179,Necesito completar el registro de materias para el nuevo cuatrimestre.,educacion,tramite,educacion_inscripcion
180,¿Qué pasos debo seguir para formalizar mi inscripción desde ayer.,educacion,tramite,educacion_inscripcion
181,"La plataforma me pide confirmar mi carga académica antes de inscribirme, desde ayer.",educacion,tramite,educacion_inscripcion
182,Necesito actualizar una materia dentro de mi proceso de inscripción.,educacion,tramite,educacion_inscripcion
183,Quiero saber cómo registrar oficialmente mis asignaturas desde ayer.,educacion,tramite,educacion_inscripcion
184,"¿Dónde entrego los documentos necesarios para la inscripción, desde ayer.",educacion,tramite,educacion_inscripcion
185,Necesito corregir un dato antes de concluir mi registro académico.,educacion,tramite,educacion_inscripcion
186,Quiero realizar mi inscripción al siguiente periodo académico antes del cierre.,educacion,tramite,educacion_inscripcion
187,"Necesito completar el registro de materias para el nuevo cuatrimestre, antes del cierre.",educacion,tramite,educacion_inscripcion
188,La plataforma me pide confirmar mi carga académica antes de inscribirme antes del cierre.,educacion,tramite,educacion_inscripcion
189,"Necesito actualizar una materia dentro de mi proceso de inscripción, antes del cierre.",educacion,tramite,educacion_inscripcion
190,¿Dónde entrego los documentos necesarios para la inscripción antes del cierre.,educacion,tramite,educacion_inscripcion
191,"Necesito corregir un dato antes de concluir mi registro académico, antes del cierre.",educacion,tramite,educacion_inscripcion
192,Necesito completar el registro de materias para el nuevo cuatrimestre en el portal institucional.,educacion,tramite,educacion_inscripcion
193,"¿Qué pasos debo seguir para formalizar mi inscripción, en el portal institucional.",educacion,tramite,educacion_inscripcion
194,Necesito actualizar una materia dentro de mi proceso de inscripción en el portal institucional.,educacion,tramite,educacion_inscripcion
195,"Quiero saber cómo registrar oficialmente mis asignaturas, en el portal institucional.",educacion,tramite,educacion_inscripcion
196,Necesito corregir un dato antes de concluir mi registro académico en el portal institucional.,educacion,tramite,educacion_inscripcion
197,"Quiero realizar mi inscripción al siguiente periodo académico, para este periodo.",educacion,tramite,educacion_inscripcion
198,¿Qué pasos debo seguir para formalizar mi inscripción para este periodo.,educacion,tramite,educacion_inscripcion
199,"La plataforma me pide confirmar mi carga académica antes de inscribirme, para este periodo.",educacion,tramite,educacion_inscripcion
200,Quiero saber cómo registrar oficialmente mis asignaturas para este periodo.,educacion,tramite,educacion_inscripcion
201,Quiero actualizar el correo asociado a mi cuenta de servicios hoy.,servicios,tramite,servicios_actualizacion
202,"Necesito modificar mis datos de contacto en el sistema, hoy.",servicios,tramite,servicios_actualizacion
203,¿Cómo cambio el número telefónico registrado en mi perfil?,servicios,tramite,servicios_actualizacion
204,Quiero corregir un dato personal que aparece desactualizado hoy.,servicios,tramite,servicios_actualizacion
205,"Necesito solicitar un cambio de información en mi expediente, hoy.",servicios,tramite,servicios_actualizacion
206,El domicilio registrado ya no es correcto y quiero actualizarlo.,servicios,tramite,servicios_actualizacion
207,¿Dónde puedo modificar los datos asociados a mi servicio hoy.,servicios,tramite,servicios_actualizacion
208,"Quiero sustituir el correo anterior por uno nuevo en mi perfil, hoy.",servicios,tramite,servicios_actualizacion
209,Quiero actualizar el correo asociado a mi cuenta de servicios.,servicios,tramite,servicios_actualizacion
210,Necesito modificar mis datos de contacto en el sistema esta semana.,servicios,tramite,servicios_actualizacion
211,"¿Cómo cambio el número telefónico registrado en mi perfil, esta semana.",servicios,tramite,servicios_actualizacion
212,Quiero corregir un dato personal que aparece desactualizado.,servicios,tramite,servicios_actualizacion
213,Necesito solicitar un cambio de información en mi expediente esta semana.,servicios,tramite,servicios_actualizacion
214,"El domicilio registrado ya no es correcto y quiero actualizarlo, esta semana.",servicios,tramite,servicios_actualizacion
215,¿Dónde puedo modificar los datos asociados a mi servicio?,servicios,tramite,servicios_actualizacion
216,Quiero sustituir el correo anterior por uno nuevo en mi perfil esta semana.,servicios,tramite,servicios_actualizacion
217,"Quiero actualizar el correo asociado a mi cuenta de servicios, desde ayer.",servicios,tramite,servicios_actualizacion
218,Necesito modificar mis datos de contacto en el sistema.,servicios,tramite,servicios_actualizacion
219,¿Cómo cambio el número telefónico registrado en mi perfil desde ayer.,servicios,tramite,servicios_actualizacion
220,"Quiero corregir un dato personal que aparece desactualizado, desde ayer.",servicios,tramite,servicios_actualizacion
221,Necesito solicitar un cambio de información en mi expediente.,servicios,tramite,servicios_actualizacion
222,El domicilio registrado ya no es correcto y quiero actualizarlo desde ayer.,servicios,tramite,servicios_actualizacion
223,"¿Dónde puedo modificar los datos asociados a mi servicio, desde ayer.",servicios,tramite,servicios_actualizacion
224,Quiero sustituir el correo anterior por uno nuevo en mi perfil.,servicios,tramite,servicios_actualizacion
225,Quiero actualizar el correo asociado a mi cuenta de servicios antes del cierre.,servicios,tramite,servicios_actualizacion
226,"Necesito modificar mis datos de contacto en el sistema, antes del cierre.",servicios,tramite,servicios_actualizacion
227,Quiero corregir un dato personal que aparece desactualizado antes del cierre.,servicios,tramite,servicios_actualizacion
228,"Necesito solicitar un cambio de información en mi expediente, antes del cierre.",servicios,tramite,servicios_actualizacion
229,¿Dónde puedo modificar los datos asociados a mi servicio antes del cierre.,servicios,tramite,servicios_actualizacion
230,"Quiero sustituir el correo anterior por uno nuevo en mi perfil, antes del cierre.",servicios,tramite,servicios_actualizacion
231,Necesito modificar mis datos de contacto en el sistema en el portal institucional.,servicios,tramite,servicios_actualizacion
232,"¿Cómo cambio el número telefónico registrado en mi perfil, en el portal institucional.",servicios,tramite,servicios_actualizacion
233,Necesito solicitar un cambio de información en mi expediente en el portal institucional.,servicios,tramite,servicios_actualizacion
234,"El domicilio registrado ya no es correcto y quiero actualizarlo, en el portal institucional.",servicios,tramite,servicios_actualizacion
235,Quiero sustituir el correo anterior por uno nuevo en mi perfil en el portal institucional.,servicios,tramite,servicios_actualizacion
236,"Quiero actualizar el correo asociado a mi cuenta de servicios, para este periodo.",servicios,tramite,servicios_actualizacion
237,¿Cómo cambio el número telefónico registrado en mi perfil para este periodo.,servicios,tramite,servicios_actualizacion
238,"Quiero corregir un dato personal que aparece desactualizado, para este periodo.",servicios,tramite,servicios_actualizacion
239,El domicilio registrado ya no es correcto y quiero actualizarlo para este periodo.,servicios,tramite,servicios_actualizacion
240,"¿Dónde puedo modificar los datos asociados a mi servicio, para este periodo.",servicios,tramite,servicios_actualizacion
241,Requiero confirmar si mi pago de colegiatura ya fue aplicado hoy.,finanzas,pago,finanzas_pago
242,"Realicé una transferencia y quiero verificar el estado del pago, hoy.",finanzas,pago,finanzas_pago
243,¿Dónde puedo consultar el comprobante de un pago registrado?,finanzas,pago,finanzas_pago
244,El sistema todavía muestra saldo aunque ya realicé el depósito hoy.,finanzas,pago,finanzas_pago
245,"Quiero saber cómo registrar el pago correspondiente al periodo, hoy.",finanzas,pago,finanzas_pago
246,Necesito validar un pago que hice mediante transferencia bancaria.,finanzas,pago,finanzas_pago
247,¿Cuánto tiempo tarda en reflejarse un pago en el sistema hoy.,finanzas,pago,finanzas_pago
248,"Busco información para comprobar que mi depósito fue reconocido, hoy.",finanzas,pago,finanzas_pago
249,Necesito confirmar si mi pago de colegiatura ya fue aplicado.,finanzas,pago,finanzas_pago
250,Realicé una transferencia y quiero verificar el estado del pago esta semana.,finanzas,pago,finanzas_pago
251,"¿En qué lugar puedo consultar el comprobante de un pago registrado, esta semana.",finanzas,pago,finanzas_pago
252,El sistema todavía muestra saldo aunque ya realicé el depósito.,finanzas,pago,finanzas_pago
253,Quiero saber cómo registrar el pago correspondiente al periodo esta semana.,finanzas,pago,finanzas_pago
254,"Necesito validar un pago que hice mediante transferencia bancaria, esta semana.",finanzas,pago,finanzas_pago
255,¿Cuánto tiempo tarda en reflejarse un pago en el sistema?,finanzas,pago,finanzas_pago
256,Busco información para comprobar que mi depósito fue reconocido esta semana.,finanzas,pago,finanzas_pago
257,"Necesito confirmar si mi pago de colegiatura ya fue aplicado, desde ayer.",finanzas,pago,finanzas_pago
258,Realicé una transferencia y quiero verificar el estado del pago.,finanzas,pago,finanzas_pago
259,¿Dónde puedo consultar el comprobante de un pago registrado desde ayer.,finanzas,pago,finanzas_pago
260,"El sistema todavía muestra saldo aunque ya realicé el depósito, desde ayer.",finanzas,pago,finanzas_pago
261,Quiero saber cómo registrar el pago correspondiente al periodo.,finanzas,pago,finanzas_pago
262,Necesito validar un pago que hice mediante transferencia bancaria desde ayer.,finanzas,pago,finanzas_pago
263,"¿Cuánto tiempo tarda en reflejarse un pago en el sistema, desde ayer.",finanzas,pago,finanzas_pago
264,Busco información para comprobar que mi depósito fue reconocido.,finanzas,pago,finanzas_pago
265,Necesito confirmar si mi pago de colegiatura ya fue aplicado antes del cierre.,finanzas,pago,finanzas_pago
266,"Realicé una transferencia y quiero verificar el estado del pago, antes del cierre.",finanzas,pago,finanzas_pago
