id,termino_1,termino_2,dominio,tipo_esperado,tipo_detectado,similitud_jaccard_caracteres,coincide_con_esperado,observacion
11,modelo,sistema,tecnologia,sinonimia,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
97,texto,contexto,pln,relacion_contextual,sin_cobertura_lexica,0.667,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
98,sentido,palabra,pln,relacion_contextual,sin_cobertura_lexica,0.0,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
99,consulta,base,datos,relacion_contextual,sin_cobertura_lexica,0.2,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
100,archivo,ruta,tecnologia,relacion_contextual,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
101,perro,teclado,general,sin_relacion_clara,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
102,hospital,algoritmo,mixto,sin_relacion_clara,sin_cobertura_lexica,0.455,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
103,credito,sustantivo,mixto,sin_relacion_clara,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
104,arbol,examen,mixto,sin_relacion_clara,sin_cobertura_lexica,0.111,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
105,vehiculo,ambiguedad,mixto,sin_relacion_clara,sin_cobertura_lexica,0.231,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
106,profesor,motor,mixto,sin_relacion_clara,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
107,dataset,cocina,mixto,sin_relacion_clara,sin_cobertura_lexica,0.111,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
108,parser,zapato,mixto,sin_relacion_clara,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
109,universidad,raton,mixto,sin_relacion_clara,sin_cobertura_lexica,0.273,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
110,modelo,montana,mixto,sin_relacion_clara,sin_cobertura_lexica,0.25,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
111,oracion,gasolina,mixto,sin_relacion_clara,sin_cobertura_lexica,0.444,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
112,paciente,csv,mixto,sin_relacion_clara,sin_cobertura_lexica,0.111,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
113,planta,root,mixto,sin_relacion_clara,sin_cobertura_lexica,0.143,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
114,credito,token,mixto,sin_relacion_clara,sin_cobertura_lexica,0.333,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
115,sentencia,teclado,mixto,sin_relacion_clara,sin_cobertura_lexica,0.4,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
116,pregunta,motor,mixto,sin_relacion_clara,sin_cobertura_lexica,0.2,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
117,aula,hospital,mixto,sin_relacion_clara,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
118,archivo,perro,mixto,sin_relacion_clara,sin_cobertura_lexica,0.222,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
119,computadora,juez,mixto,sin_relacion_clara,sin_cobertura_lexica,0.083,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
120,noticia,teclado,mixto,sin_relacion_clara,sin_cobertura_lexica,0.444,no,El par no existe en el recurso léxico inicial; requiere revisión y posible ampliación del diccionario.
