polaridad,subjetividad,categoria,texto_limpio,genero,id
-0.1417,0.5,Neutro,desde que hace ya mas de 50 anos que william peter blatty primero y william friedkin despues concibieran el mito de the exorcist nunca jamas nada volvio a ser igual decenas de producciones hechas las cuales ni siquiera han conseguido rozar el acercamiento a the exorcist ello no quita que hayan habido producciones buenas que desde una perspectiva de contar una historia digna y el efectismo que logran conseguir los avances tecnologicos al servicio del cine se pueda hacer de ellas un producto disfrutable la liberacion la podriamos separar en dos apartados diferentes el caracter puramente dramatico e interpretativo por un lado y el relato puramente terrorifico basado en las posesiones demoniacas funciona bien como relato dramatico al que sin duda ayuda y mucho el plantel interpretativo lee daniels construye una historia comun estadounidense drama familiar con el componente racial de la comunidad afroamericana como premisa argumental base honestamente y considerando que mi opinion puede ser completamente irrelevante tanta retorica victimista no dire que cansa ni que aburre pero si que satura dos pesos pesados como glenn close y mo nique estan bien en sus respectivos roles aunque es andra day quien se erige en protagonista con un personaje aspero y bastante desagradable es de agradecer a lee daniels por otra parte el hecho de que el relato puramente terrorifico haya quedado relegado al ultimo tercio de la pelicula me refiero a que no tenemos que lidiar con ojos vueltos cabriolas y break dance desde el minuto diez es precisamente en ese ultimo tercio cuando el efectismo visual bien resulto por cierto comienza a cobrar relevancia aunque he tenido la sensacion de que todo ese desarrollo comienza a transmitir sensacion de apresuramiento bien no se la pelicula no nos muestra nada destacable en ningun aspecto realmente como drama funciona bien aunque sea una historia bastante clasica como relato de terror lo mismo nada que no sepamos ni hayamos visto cien mil veces ello no quita que se pueda disfrutar aunque tampoco se nos mantendra excesivamente anclada en nuestra memoria nota de verdad tengo tantas ganas y desde hace tantos anos para un dia decir es la mejor puta pelicula que he visto desde the exorcist y nada no lo consigo ni pa dios,Terror,10
0.0063,0.5875,Neutro,ya la has visto antes de verla en otras 200 peliculas del mismo estilo que salieron post el exorcista y lo unico que tiene de nuevo es que es una version hecha por y para evangelistas nada absolutamente nada nuevo en este diablo que trepa paredes como spiderman la unica que se salva en todo este refrito es glenn close que por mas tonto que sea su papel en cualquier pelicula ella la mejora con su sola presencia pero da pena que se preste a este tipo de trabajos entiendo que esta hecha para personas con 19 anos que no hayan visto apenas cine la mercancia tiene que renovarse para el consumo de cada generacion y si algo funciona para que intentar cosas nuevas no hay un solo impacto original por lo que no asusta y aburre bastante escribia la critica mientras la veia terminar y he vuelto a estas lineas para ponerle peor nota al encontrarme con que se inspira en una historia real y da pabulo a la memez de que todavia se viven cosas extranas en el terreno de la casa si hubiera ido solo de ficcion tendria un pase pero que el fin real sea de paso adoctrinar me escandaliza,Terror,11
0.0,0.0,Neutro,hay que puntualizar que no es una peli de terror sino un dramon barato digno de antena 3 a la hora de la sobremesa la ebony se han comido el tarro con el nombre el guionista de hortaleza sufridora que intenta sacar a su familia adelante mientras lidia con su adiccion al alcohol no te dejes enganar no pertenece al genero de terror es un drama y muy de serie b barata a partir de ahi la fotografia regulera realizacion igual y el reparto encabezado por glenn close y cerrado por ella misma porque no hay nadie resenable candidata firme a los premios razzies 2024 yo la voy a votar desde luego si empiezas a verla esperando a que arranque eso no va a pasar amijos otro quiero y no puedo lamentable que da verguenza ajena,Terror,12
0.35,0.65,Positivo,la carrera de lee daniels es cuanto menos irregular desde la muy sobrevalorada precious hasta el mayordomo quizas lo mas brillante de su filmografia sea el biopic de billie holiday que ya tenia a andra day como protagonista en esta ocasion daniels y day se unen de nuevo para contarnos una historia mas de posesion supuestamente real y el resultado es francamente anodino entretiene si desde luego y day se esfuerza por hacer creible su personaje pero la quimica con glenn close es nula y el desarrollo esta ya tan visto en mil peliculas previas que no sorprende ni aterroriza muy simplona y poco interesante,Terror,13
0.25,0.5,Neutro,intenta sumergirnos en el clasico subgenero del terror de casas encantadas mezclando elementos sobrenaturales con un trasfondo de intriga la trama sigue a una familia que se muda a una casa en indiana solo para descubrir que el lugar alberga fuerzas oscuras y demoniacas a medida que los sucesos extranos se intensifican tanto la familia como la comunidad local empiezan a creer que la casa es un portal al infierno a pesar de la prometedora premisa la pelicula no logra desarrollar su potencial de manera efectiva la historia cae rapidamente en los tropos mas comunes del genero con sustos predecibles y una narrativa que carece de originalidad la direccion de lee daniels aunque competente en otros generos aqui se siente desorientada incapaz de mantener una atmosfera consistente de terror o de construir una tension que realmente involucre al espectador los personajes a pesar de enfrentarse a una situacion aterradora no logran conectar emocionalmente con el publico lo que reduce el impacto de sus experiencias las actuaciones son en su mayoria planas y el guion no les da suficiente material para que desarrollen profundidad o complejidad como resultado la historia avanza sin generar un verdadero sentido de peligro o desesperacion visualmente la pelicula no ofrece nada nuevo los efectos especiales y el diseno de produccion son genericos careciendo de la creatividad necesaria para destacar en un genero tan saturado incluso los momentos mas escalofriantes se sienten reciclados de otras peliculas lo que disminuye su efectividad en resumen es una entrada decepcionante en el genero de terror a pesar de su premisa no logra generar el miedo o la intriga que promete quedandose en un ejercicio superficial y poco memorable,Terror,14
0.125,0.619,Neutro,el aclamado director nos ofrece su propia mirada de terror con una historia que intensifica el drama para explotar en el terror de forma agridulce basada en hechos reales en la ciudad de indiana su director nos enfrenta a un relato con el cual vamos cayendo a medida que vamos conociendo de la verdadera maldad que esconde la casa en cuestion donde transcurre todo para ello da pie a contarnos la historia de una familia absolutamente disfuncional con la cual vas intensificando el drama de manera aguda y en la que se permite brillar tanto a andra day en su protagonico y a glenn close quienes se entregan por completo a sus complejos personajes y su frenetica relacion de madre e hija el director sabe llevar los conflictos con la astucia que marca el sello de los dramas que propone daniels en sus peliculas y aqui lo hace con intensidad mientras nos va dando piscas de terror que van combatiendo con la potencia de un drama que por momentos se apodera mas de su guion que propiamente los sustos que uno desea ver cuando estalla el terror el director sorprende con ciertas decisiones que te hacen recordar a un par de clasicos del genero sin dejar de estar presente que lee daniels se atreve a darnos en su propia mirada de sustos que no abusan de los recursos baratos y que realmente llegan a ser muy bien logrados y terrorificos el manejo que tiene el director para darle momentos a todo su reparto es algo que tambien vale la pena destacar y podemos ver interesantes momentos de un reparto secundario como aunjanue ellis taylor mo nique caleb mclaughlin anthony b jenkins y demi singleton la construccion y el debut del director en el genero de terror se siente de manera agraz ya que se pueden ver las intenciones de darnos algo mas de una simple historia de terror sobre una casa embrujada pero tambien la intensidad de contarnos un trasfondo mas alla de encontrar un demonio ficticio en la historia hace que la pelicula tenga una constante lucha entre el intenso drama familiar y una interesante historia de posesiones y es aqui donde la pelicula no termina de consolidarse como algo realmente redondo en su resultado final me quedo con una apuesta de netflix que tiene momentos altos de un cineasta que es muy bueno haciendo lo que sabe y su debut en el genero de terror es bastante interesante que no llega a ser totalmente satisfactorio por esa pequena lucha que produce en el espectador de enfrentarnos a un drama que nos cautiva gracias a sus interpretaciones pero que lo que esperamos ver es una pelicula de terror sobre una casa embrujada y esos momentos se sienten demasiados escasos en su resultado final de todas maneras es una pelicula que vale la pena ver y disfrutar por que termina en su suma final siendo una apuesta con la que logras conectar y entretenerte en gran parte de todo su visionado netflix brinda una apuesta que destaca por sobre otros estrenos de este 2024 en su catalogo,Terror,15
-0.1444,0.3778,Neutro,andra day y glenn close son fascinantes al ofrecer interpretaciones sumamente entranables y sordidas pero desafortunadamente en otros aspectos la pelicula falla abismalmente en primer lugar la critica social que integra gran parte del metraje funciona en ciertos puntos sobre todo porque lee daniel su director los maneja con mucha destreza porque realmente generan un impacto y una reflexion en la audiencia desafortunadamente a veces la forma en que es presentada es demasiado melodramatica y brusca haciendo que ciertas escenas que deberian ser impactantes se vuelvan risibles en segundo lugar los sustos que deberian ser un pilar para una pelicula de terror aca no hay una construccion de atmosfera adecuada sino que simplemente se usan jumpscares demasiado cliches y con efectos especiales tan malos que parecen de los 90 por lo que si el terror no funciona y la critica social es mediocre simplemente la pelicula no funciona ni siquiera sus potentes actuaciones logran salvarla,Terror,16
0.285,0.8,Neutro,dos lugares comunes del genero gotico delicados de echar mano pueden hacer que una obra de fantasia esta basada en hechos reales quede demasiado barata o cuando menos muy desprolija un gato muerto en el sotano termina de conformar un triangulo de gratuidad de desconexion irrisoria entre un esbozado drama neorrealista de violencia familiar y digamoslo de una vez el exorsista 1973 y que son el unico indicio de presencia demoniaca hasta muy avanzada la pelicula como puede ser que un director tan reconocido precious 2009 se anoto 6 nominaciones a los oscar se preste para un producto de plagios y populacheria cosidos asi nomas si no fuera para pagar las cuentas no se me imagino el tipico brainstorming entre barton fink y su editor detras de esto pero lo verosimil es una contratacion mercenaria decidida por analogia aca se ve a dos equipos de naturaleza extremadamente dispar trabajando juntos por un lado el apartado actoral de lujo la construccion de personajes de taquito planos generales iconicos uno del cielo tormentoso en ciernes uno del barrio ya en plena tormenta otro del barrio al final que son una satisfaccion de un deseo antiguo para los fans del genero directamente denotan mano maestra precioso literalmente el otro equipo que decir a su favor se les podria anotar algun efecto bien plagiado perfeccionado incluso en algun caso pero en general es un ejemplo de falta de creatividad de falta de talento a cargo de esta segunda unidad se ha dejado el mal sobrenatural ese personaje que se manifiesta paulatinamente a traves de indicios que podrian tener un cuerpo un sentido metaforico una relacion con lo que sucede y no parece dos filmaciones opuestas colisionadas desintegradas precious y los tres chiflados en la mansion embrujada,Terror,17
0.0417,0.2771,Neutro,primeros sintomasla liberacion the deliverance es algo asi como una pelicula dual mixta dividida en su naturaleza participa de dos mundos distintos que pueden convivir pero que en este caso colisionan durante gran parte de su metraje la liberacion es un drama de tintes sociales donde la acumulacion de infortunios la colocan casi al borde del misery porn ahi se ve el pedigri de lee daniels director de precious 2009 para situarnos un poco ebony jackson andra day su madre glenn close y sus tres hijos llegan a una nueva casa en indiana poco tardamos en darnos cuenta de que la situacion de la familia no es un lecho de rosas asi por lo pronto ebony tiene un problema irresoluto con el alcohol no pasa por un buen momento economico y su caracter se va agriando hasta pagarlo con su familia sus antecedentes como ex convicta no ayuda a mostrarnos una imagen mejor de ella todo ello es implacablemente escrutado por la trabajadora social cynthia mo nique quien manifiesta una evidente falta de confianza en ebony como madre ebony quien nos llega a caer antipatica desprende no obstante un aura de cierta soledad su marido eso dicen a la trabajadora social esta en irak trasluciendose por el contexto que la pareja esta separada pero pronto un problema de naturaleza muy distinto comienza a infiltrarse en la casa de ebony sus hijos sobre todo el pequeno andre anthony b jenkins comienzan a comportarse de forma extrana e incluso violenta lo sobrenatural aparece en la pelicula para ir yendo a mas por momentos dos generos no armonizadosla liberacion the deliverance es abrupta a la hora de intentar engarzar los dos principales generos en los que se mueve a saber el drama tremendista con cierta raigambre social y el terror de posesiones y casas malditas estos ingredientes se superponen pero no se mezclan sin contradecirse antes como dos facetas demasiado irreconocibles entre si el problema se intensifica cuando mas alla de su acople la liberacion tampoco es demasiado destacable ni conmoviendo con el drama y ni amedrentando con terror cabe decir que lee daniels se mueve con mas soltura en el primero de los elementos pero sin alcanzar grandes cotas cada revelacion de los primeros treinta minutos es una vuelta de tuerca en fatalidades glen close en un papel que recuerda un poco al que hizo en hillbilly una elegia rural 2020 podria ser un elemento de contrapunto pero pronto vemos que padece de un cancer del que se esta tratando con quimio este periodo dramatico llega a rimar demasiado con un telefilm vespertino donde la fatalidad viene por mera acumulacion sin demasiada estructura o alcance de todos modos se puede intuir la querencia de daniels por el comentario social y los apuntes de familias desestructuradas pero todo queda subsumido por una realizacion vulgar la parte terrorifica tiene todos los recursos habituales tanto de las casas encantadas puertas y objetos que se mueven solos presencia excesiva de insectos un sotano que da miedo solo de mirarlo y algun que otro jumpscare tambien del de posesiones aprendizaje de lenguas extranas ojos en blanco dislocaciones articulares exorcismos en este sentido podemos ver la sombra de terror en amytiville 1979 o el exorcista 1973 una conjunto poco convincentede la liberacion podria decirse de forma algo tramposa que no abusa del efectismo y que se centra mas en la parte terrenal y menos en la parte sobrenatural no es del todo cierto todos los recursos y manierismos de un terror de estas caracteristicas estan presentes solo que lucen menos debido a una factura endeble a veces casi de telefilm otra vez la dichosa palabra ademas tematicamente la pelicula acaba asentada en un concepto principal que orbita alrededor de la fe y la religion podemos advertirlo en el personaje de glenn close profundamente devota y la primera que piensa en una causa diabolica para los extranos fenomenos que ocurren en su casa en el ultimo tercio irrumpe con fuerza el personaje la reverenda bernice james aunjanue ellis taylor una evangelista que parece saber demasiado sobre lo que esta pasando en casa de ebony de hecho podemos afirmar que la liberacion es una pelicula eminentemente cristiana y una clara apologia de fe nada de esto es reprobable en si mismo la optica de el exorcista p ej y la obra posterior de william petter blatty tiene una perspectiva eminentemente creyente por no mencionar el universo de los warren aunque de una forma mas pulp por asi decirlo la cosa esta en que la forma de expresar las inquietudes espirituales es un poco de brocha gorda a pocos palmos de la retorica de un telepredicador la cuestion mollar es que el acabado en la faceta de terror es demasiado topico como para mostrar algo convincente no beneficia la ramploneria estetica que suele presidir y esta no es ninguna excepcion las producciones de netflix por sacar algo positivo la historia tiene cierta fuerza que hace que se pueda ver sin demasiados problemas la pelicula pero con un resultado total poco satisfactorio conclusionesla liberacion the deliverance no resulta satisfactoria ni en el conjunto ni en cualquiera de sus partes su acusada dualidad entre el melodrama y el terror se resuelve a golpes de volantazos estilisticos que empeoran una pelicula que a la hora de conmover o a la de asustar falla o se queda lejos las hechuras de telefilm lastran todo demasiado acorde con la pelicula hace falta un enorme acto de fe para disfrutar de ella escrito por mariano gonzalez,Terror,18
0.01,0.3714,Neutro,inevitable referenciano vamos ahora a descubrir america enumerando la enorme lista de titulos que han adaptado con mayor o menor acierto la literatura mitologica los mejores estan en nuestra memoria siendo que casi todos argumentan siempre desde un prisma antiguo trasladandonos a la edad dorada de los mitos sobre heracles o perseo las sadicas ambiciones de ares e incluso los introspectivos viajes epopeyicos sin embargo kaos nos retrotrae a una en concreto american gods esa brillante adaptacion de la novela del gran neil gaiman que cautivo con su explosiva primera temporada y tras dos mas fue cancelada por los problemas fuera de camara por que esta serie en concreto facil porque junta las dos bases mas definitorias de ambas propuestas mitologia y actualidad es decir ya no rebobinamos para recrear un tiempo de espadas y flechas sino que vemos a los mismos dioses reinar en mayor o menor medida en el presente quiza aqui este la diferencia sustancial entre las dos pues mientras la de 2017 nos muestra a unas divinidades en decadencia caidas en el olvido y en guerra con los nuevos idolos tecnologias y demas la de 2024 coge a las mismas deidades del pasado y las suelta en nuestros dias asi de simple con sus mismas personalidades caprichos y desenfrenos en un mundo alternativo en el que dios en mayusculas no existe sino que se rinde culto a los grandes nombres griegos de la misma forma que en la antiguedad si tuvieramos que resumir la premisa comun seria la imperiosa necesidad que esos dioses tienen de mantener su poder a costa de la humanidad tanto kaos como american gods reflejan a unos seres ensimismados pero sabedores de la necesidad de almas para sobrevivir para seguir siendo eternos si bien es cierto charlie covell la creadora lo hace de una manera mucho mas directa porque le interesa ahondar en otros aspectos la premisa de kaosla showrunner de kaos nos presenta a la familia de dioses griegos por excelencia en su maximo nivel de poder cuya veneracion por parte de los humanos se mantiene intacta salvo por esos pocos escepticos de la casa troyana cargados de motivos para odiar a los que consideran sus enemigos y absolutamente ausentes al sufrimiento de sus siervos es a partir de la pequena duda desde donde parte esta serie de ese zeus que a pesar de saberse omnipotente e infalible empieza a acusar el peso de la incertidumbre esto es algo que escapa a su omnisciencia de ahi hacia la absoluta anarquia os podeis imaginar el resto el rey de los dioses del olimpo piensa que ha abandonado su supremacista personalidad y a pesar de haber jurado no querer ser como su padre crono su tristeza existencial se torna de nuevo tiranica rostros divinos y humanospara lograr este fantastico personaje en definitiva el que mas juego debe dar la creadora de kaos ficho a ultima hora porque en principio estaba atado hugh grant al genial jeff goldblum que aporta a su zeus una serie de matices sabrosisimos juguetones y necesariamente macabros es la eleccion perfecta porque la serie tiene una clara carga de humor negro por lo que el actor debe ir virando de un espectro a otro sin parar y que quereis que os diga si la primera secuencia es la apoteosica voz en off de prometeo narrando la presentacion de zeus con money for nothing de dire straits imposible comenzar con mejor pie el resto del reparto es igualmente maravilloso sin duda uno de los motivos por los que esta serie crece sobremanera un titanico jeff goldblum nunca mejor dicho esta muy bien emparentado en la ficcion con la vanidosa hera de janet mcteer el cachondo poseidon de cliff curtis un logicamente atormentado hades de david thewlis y el inmaduro dionisio de nabhaan rizwan a esta enfermiza familia se suman los humanos arcos principales de killiam scott haciendo de orfeo aurora perineau encarnando a riddy y misia butler como caneus de profecias y mitossi algo destaca en kaos mas alla de sus buenas interpretaciones o lo evidente del atractivo argumento es la dualidad que la showrunner nos presenta de manera constante y con una clara evolucion ascendente del primero al octavo y ultimo episodio es la indisoluble confrontacion entre realidades la que define esta serie primeramente a traves de ese subyacente fundamento del bien y el mal que se comporta de forma convencional y totalmente reconocible pues da sentido ultimo al computo general despues tenemos otras dualidades muy interesantes como sacrificio y libertad sangre y abandono o destino y autodeterminacion pero la mas clara que marca casi todos los arcos narrativos es la que viaja siempre reflexionando sobre el sentido de la vida que es ser humano sin miedo a desvelar spoilers diremos que los personajes tanto dioses como hombres van debatiendose sobre el origen y destino de cada persona porque todos son personas al fin y al cabo con mayor o menor rango de poder pero todas tienen un nacimiento y una muerte escrita y ahi es donde aparece el protagonista mas sibilino la profecia porque todo este pitote surge por la importancia que aparentemente tiene uno de los presagios de las sensacionalmente interpretadas moiras a line appears the order wanes the family falls and the kaos reigns es decir que esa linea que surge como clara referencia al hilo que crea y destruye pudiendo o no segun convicciones tal cual rezan las parcas hacer que el orden se tambalee y el caos prevalezca como evidentemente nada puede cambiar si la contaminada relacion entre dioses y humanos no cambia si las fuerzas no se igualan si la naturaleza no es revelada tal cual es como digo que todos son personas y kaos dilucida sobre esto en un sentido directo y tambien metaforico todos buscando la verdad tras el mito roto que trae la anarquia escrito por gabriel sales,Comedia,19
0.0,0.0,Neutro,despues de un primer y segundo capitulos prometedores soberbios goldblun en el papel de un zeus neurotico y cachondo y nabaan rizwaan como un dionisos inocente y pasado de vueltas pero la cosa se va desinflando poco a poco la trama entra en piloto automatico enseguida lastrada por el intento de que todos todos los dialogos sean inteligentes profundos y graciosos al mismo tiempo y unos actores que no siempre dan la talla por momentos me recordaba a un asi en el cielo como en la tierra escrito por alguien que ha estudiado en oxford o cambridge le voy a dar otra oportunidad pero no se si remontara p d stephen dillane en el papel de prometeo tambien esta muy bien,Comedia,20
