id,texto,dominio,tema,relevancia_grupo,texto_limpio
16,El departamento escolar abrió el proceso de inscripción semestral.,educacion,inscripcion,educacion_inscripcion,el departamento escolar abrio el proceso de inscripcion semestral
17,Un departamento escolar abrió el proceso de inscripción semestral.,educacion,inscripcion,educacion_inscripcion,un departamento escolar abrio el proceso de inscripcion semestral
18,El departamento escolar abrió el proceso de inscripción semestral. El informe quedó registrado para revisión posterior.,educacion,inscripcion,educacion_inscripcion,el departamento escolar abrio el proceso de inscripcion semestral el informe quedo registrado para revision posterior
19,La biblioteca digital agregó nuevos recursos de investigación académica.,educacion,biblioteca,educacion_biblioteca,la biblioteca digital agrego nuevos recursos de investigacion academica
20,Una biblioteca digital agregó nuevos recursos de investigación académica.,educacion,biblioteca,educacion_biblioteca,una biblioteca digital agrego nuevos recursos de investigacion academica
21,La biblioteca digital agregó nuevos recursos de investigación académica. El informe quedó registrado para revisión posterior.,educacion,biblioteca,educacion_biblioteca,la biblioteca digital agrego nuevos recursos de investigacion academica el informe quedo registrado para revision posterior
22,El docente explicó modelos de lenguaje con ejemplos de código.,educacion,clase,educacion_clase,el docente explico modelos de lenguaje con ejemplos de codigo
23,Un docente explicó modelos de lenguaje con ejemplos de código.,educacion,clase,educacion_clase,un docente explico modelos de lenguaje con ejemplos de codigo
24,El docente explicó modelos de lenguaje con ejemplos de código. El informe quedó registrado para revisión posterior.,educacion,clase,educacion_clase,el docente explico modelos de lenguaje con ejemplos de codigo el informe quedo registrado para revision posterior
25,El curso de inteligencia artificial incluyó actividades de análisis de texto.,educacion,curso,educacion_curso,el curso de inteligencia artificial incluyo actividades de analisis de texto
26,Un curso de inteligencia artificial incluyó actividades de análisis de texto.,educacion,curso,educacion_curso,un curso de inteligencia artificial incluyo actividades de analisis de texto
27,El curso de inteligencia artificial incluyó actividades de análisis de texto. El informe quedó registrado para revisión posterior.,educacion,curso,educacion_curso,el curso de inteligencia artificial incluyo actividades de analisis de texto el informe quedo registrado para revision posterior
28,"El proyecto integrador documentó objetivos, dataset y resultados de aprendizaje.",educacion,proyecto,educacion_proyecto,el proyecto integrador documento objetivos dataset y resultados de aprendizaje
29,"Un proyecto integrador documentó objetivos, dataset y resultados de aprendizaje.",educacion,proyecto,educacion_proyecto,un proyecto integrador documento objetivos dataset y resultados de aprendizaje
30,"El proyecto integrador documentó objetivos, dataset y resultados de aprendizaje. El informe quedó registrado para revisión posterior.",educacion,proyecto,educacion_proyecto,el proyecto integrador documento objetivos dataset y resultados de aprendizaje el informe quedo registrado para revision posterior
31,El hospital actualizó el protocolo de atención para pacientes con síntomas respiratorios.,salud,hospital,salud_hospital,el hospital actualizo el protocolo de atencion para pacientes con sintomas respiratorios
32,Un hospital actualizó el protocolo de atención para pacientes con síntomas respiratorios.,salud,hospital,salud_hospital,un hospital actualizo el protocolo de atencion para pacientes con sintomas respiratorios
33,El hospital actualizó el protocolo de atención para pacientes con síntomas respiratorios. El informe quedó registrado para revisión posterior.,salud,hospital,salud_hospital,el hospital actualizo el protocolo de atencion para pacientes con sintomas respiratorios el informe quedo registrado para revision posterior
34,La campaña de vacunación reforzó la prevención de enfermedades estacionales.,salud,vacuna,salud_vacuna,la campana de vacunacion reforzo la prevencion de enfermedades estacionales
35,Una campaña de vacunación reforzó la prevención de enfermedades estacionales.,salud,vacuna,salud_vacuna,una campana de vacunacion reforzo la prevencion de enfermedades estacionales
36,La campaña de vacunación reforzó la prevención de enfermedades estacionales. El informe quedó registrado para revisión posterior.,salud,vacuna,salud_vacuna,la campana de vacunacion reforzo la prevencion de enfermedades estacionales el informe quedo registrado para revision posterior
37,El diagnóstico temprano permitió iniciar tratamiento antes de complicaciones.,salud,diagnostico,salud_diagnostico,el diagnostico temprano permitio iniciar tratamiento antes de complicaciones
38,Un diagnóstico temprano permitió iniciar tratamiento antes de complicaciones.,salud,diagnostico,salud_diagnostico,un diagnostico temprano permitio iniciar tratamiento antes de complicaciones
39,El diagnóstico temprano permitió iniciar tratamiento antes de complicaciones. El informe quedó registrado para revisión posterior.,salud,diagnostico,salud_diagnostico,el diagnostico temprano permitio iniciar tratamiento antes de complicaciones el informe quedo registrado para revision posterior
40,El medicamento fue administrado conforme a indicación médica.,salud,medicamento,salud_medicamento,el medicamento fue administrado conforme a indicacion medica
41,Un medicamento fue administrado conforme a indicación médica.,salud,medicamento,salud_medicamento,un medicamento fue administrado conforme a indicacion medica
42,El medicamento fue administrado conforme a indicación médica. El informe quedó registrado para revisión posterior.,salud,medicamento,salud_medicamento,el medicamento fue administrado conforme a indicacion medica el informe quedo registrado para revision posterior
43,La consulta médica evaluó signos vitales y antecedentes clínicos.,salud,consulta,salud_consulta,la consulta medica evaluo signos vitales y antecedentes clinicos
44,Una consulta médica evaluó signos vitales y antecedentes clínicos.,salud,consulta,salud_consulta,una consulta medica evaluo signos vitales y antecedentes clinicos
45,La consulta médica evaluó signos vitales y antecedentes clínicos. El informe quedó registrado para revisión posterior.,salud,consulta,salud_consulta,la consulta medica evaluo signos vitales y antecedentes clinicos el informe quedo registrado para revision posterior
46,El programa de prevención promovió hábitos saludables en la comunidad.,salud,prevencion,salud_prevencion,el programa de prevencion promovio habitos saludables en la comunidad
47,Un programa de prevención promovió hábitos saludables en la comunidad.,salud,prevencion,salud_prevencion,un programa de prevencion promovio habitos saludables en la comunidad
48,El programa de prevención promovió hábitos saludables en la comunidad. El informe quedó registrado para revisión posterior.,salud,prevencion,salud_prevencion,el programa de prevencion promovio habitos saludables en la comunidad el informe quedo registrado para revision posterior
49,El área de urgencias recibió pacientes después del accidente vial.,salud,emergencia,salud_emergencia,el area de urgencias recibio pacientes despues del accidente vial
50,Un área de urgencias recibió pacientes después del accidente vial.,salud,emergencia,salud_emergencia,un area de urgencias recibio pacientes despues del accidente vial
51,El área de urgencias recibió pacientes después del accidente vial. El informe quedó registrado para revisión posterior.,salud,emergencia,salud_emergencia,el area de urgencias recibio pacientes despues del accidente vial el informe quedo registrado para revision posterior
52,La clínica rural amplió sus horarios de atención primaria.,salud,clinica,salud_clinica,la clinica rural amplio sus horarios de atencion primaria
53,Una clínica rural amplió sus horarios de atención primaria.,salud,clinica,salud_clinica,una clinica rural amplio sus horarios de atencion primaria
54,La clínica rural amplió sus horarios de atención primaria. El informe quedó registrado para revisión posterior.,salud,clinica,salud_clinica,la clinica rural amplio sus horarios de atencion primaria el informe quedo registrado para revision posterior
55,El plan de nutrición recomendó reducir azúcar y aumentar fibra.,salud,nutricion,salud_nutricion,el plan de nutricion recomendo reducir azucar y aumentar fibra
56,Un plan de nutrición recomendó reducir azúcar y aumentar fibra.,salud,nutricion,salud_nutricion,un plan de nutricion recomendo reducir azucar y aumentar fibra
57,El plan de nutrición recomendó reducir azúcar y aumentar fibra. El informe quedó registrado para revisión posterior.,salud,nutricion,salud_nutricion,el plan de nutricion recomendo reducir azucar y aumentar fibra el informe quedo registrado para revision posterior
58,El expediente clínico integró resultados de laboratorio y observaciones.,salud,expediente,salud_expediente,el expediente clinico integro resultados de laboratorio y observaciones
59,Un expediente clínico integró resultados de laboratorio y observaciones.,salud,expediente,salud_expediente,un expediente clinico integro resultados de laboratorio y observaciones
60,El expediente clínico integró resultados de laboratorio y observaciones. El informe quedó registrado para revisión posterior.,salud,expediente,salud_expediente,el expediente clinico integro resultados de laboratorio y observaciones el informe quedo registrado para revision posterior
61,El reporte económico señaló aumento de inflación durante el trimestre.,economia,inflacion,economia_inflacion,el reporte economico senalo aumento de inflacion durante el trimestre
62,Un reporte económico señaló aumento de inflación durante el trimestre.,economia,inflacion,economia_inflacion,un reporte economico senalo aumento de inflacion durante el trimestre
63,El reporte económico señaló aumento de inflación durante el trimestre. El informe quedó registrado para revisión posterior.,economia,inflacion,economia_inflacion,el reporte economico senalo aumento de inflacion durante el trimestre el informe quedo registrado para revision posterior
64,La empresa abrió vacantes para analistas de datos y desarrolladores.,economia,empleo,economia_empleo,la empresa abrio vacantes para analistas de datos y desarrolladores
65,Una empresa abrió vacantes para analistas de datos y desarrolladores.,economia,empleo,economia_empleo,una empresa abrio vacantes para analistas de datos y desarrolladores
66,La empresa abrió vacantes para analistas de datos y desarrolladores. El informe quedó registrado para revisión posterior.,economia,empleo,economia_empleo,la empresa abrio vacantes para analistas de datos y desarrolladores el informe quedo registrado para revision posterior
67,El banco aprobó un crédito para pequeñas empresas locales.,economia,credito,economia_credito,el banco aprobo un credito para pequenas empresas locales
68,Un banco aprobó un crédito para pequeñas empresas locales.,economia,credito,economia_credito,un banco aprobo un credito para pequenas empresas locales
69,El banco aprobó un crédito para pequeñas empresas locales. El informe quedó registrado para revisión posterior.,economia,credito,economia_credito,el banco aprobo un credito para pequenas empresas locales el informe quedo registrado para revision posterior
70,El mercado financiero reaccionó a los nuevos indicadores de crecimiento.,economia,mercado,economia_mercado,el mercado financiero reacciono a los nuevos indicadores de crecimiento
71,Un mercado financiero reaccionó a los nuevos indicadores de crecimiento.,economia,mercado,economia_mercado,un mercado financiero reacciono a los nuevos indicadores de crecimiento
72,El mercado financiero reaccionó a los nuevos indicadores de crecimiento. El informe quedó registrado para revisión posterior.,economia,mercado,economia_mercado,el mercado financiero reacciono a los nuevos indicadores de crecimiento el informe quedo registrado para revision posterior
73,La inversión pública impulsó obras de infraestructura regional.,economia,inversion,economia_inversion,la inversion publica impulso obras de infraestructura regional
74,Una inversión pública impulsó obras de infraestructura regional.,economia,inversion,economia_inversion,una inversion publica impulso obras de infraestructura regional
75,La inversión pública impulsó obras de infraestructura regional. El informe quedó registrado para revisión posterior.,economia,inversion,economia_inversion,la inversion publica impulso obras de infraestructura regional el informe quedo registrado para revision posterior
76,El salario promedio aumentó en sectores tecnológicos especializados.,economia,salario,economia_salario,el salario promedio aumento en sectores tecnologicos especializados
77,Un salario promedio aumentó en sectores tecnológicos especializados.,economia,salario,economia_salario,un salario promedio aumento en sectores tecnologicos especializados
78,El salario promedio aumentó en sectores tecnológicos especializados. El informe quedó registrado para revisión posterior.,economia,salario,economia_salario,el salario promedio aumento en sectores tecnologicos especializados el informe quedo registrado para revision posterior
79,El comercio electrónico reportó crecimiento en ventas durante la temporada.,economia,comercio,economia_comercio,el comercio electronico reporto crecimiento en ventas durante la temporada
80,Un comercio electrónico reportó crecimiento en ventas durante la temporada.,economia,comercio,economia_comercio,un comercio electronico reporto crecimiento en ventas durante la temporada
81,El comercio electrónico reportó crecimiento en ventas durante la temporada. El informe quedó registrado para revisión posterior.,economia,comercio,economia_comercio,el comercio electronico reporto crecimiento en ventas durante la temporada el informe quedo registrado para revision posterior
82,La reforma ajustó reglas de impuestos para contribuyentes digitales.,economia,impuestos,economia_impuestos,la reforma ajusto reglas de impuestos para contribuyentes digitales
83,Una reforma ajustó reglas de impuestos para contribuyentes digitales.,economia,impuestos,economia_impuestos,una reforma ajusto reglas de impuestos para contribuyentes digitales
84,La reforma ajustó reglas de impuestos para contribuyentes digitales. El informe quedó registrado para revisión posterior.,economia,impuestos,economia_impuestos,la reforma ajusto reglas de impuestos para contribuyentes digitales el informe quedo registrado para revision posterior
85,El presupuesto institucional priorizó proyectos de investigación aplicada.,economia,presupuesto,economia_presupuesto,el presupuesto institucional priorizo proyectos de investigacion aplicada
86,Un presupuesto institucional priorizó proyectos de investigación aplicada.,economia,presupuesto,economia_presupuesto,un presupuesto institucional priorizo proyectos de investigacion aplicada
87,El presupuesto institucional priorizó proyectos de investigación aplicada. El informe quedó registrado para revisión posterior.,economia,presupuesto,economia_presupuesto,el presupuesto institucional priorizo proyectos de investigacion aplicada el informe quedo registrado para revision posterior
88,La productividad mejoró después de automatizar procesos administrativos.,economia,productividad,economia_productividad,la productividad mejoro despues de automatizar procesos administrativos
89,Una productividad mejoró después de automatizar procesos administrativos.,economia,productividad,economia_productividad,una productividad mejoro despues de automatizar procesos administrativos
90,La productividad mejoró después de automatizar procesos administrativos. El informe quedó registrado para revisión posterior.,economia,productividad,economia_productividad,la productividad mejoro despues de automatizar procesos administrativos el informe quedo registrado para revision posterior
91,El sistema de inteligencia artificial clasificó documentos por intención del usuario.,tecnologia,ia,tecnologia_ia,el sistema de inteligencia artificial clasifico documentos por intencion del usuario
92,Un sistema de inteligencia artificial clasificó documentos por intención del usuario.,tecnologia,ia,tecnologia_ia,un sistema de inteligencia artificial clasifico documentos por intencion del usuario
93,El sistema de inteligencia artificial clasificó documentos por intención del usuario. El informe quedó registrado para revisión posterior.,tecnologia,ia,tecnologia_ia,el sistema de inteligencia artificial clasifico documentos por intencion del usuario el informe quedo registrado para revision posterior
94,El equipo de ciberseguridad detectó intentos de acceso no autorizado.,tecnologia,ciberseguridad,tecnologia_ciberseguridad,el equipo de ciberseguridad detecto intentos de acceso no autorizado
95,Un equipo de ciberseguridad detectó intentos de acceso no autorizado.,tecnologia,ciberseguridad,tecnologia_ciberseguridad,un equipo de ciberseguridad detecto intentos de acceso no autorizado
96,El equipo de ciberseguridad detectó intentos de acceso no autorizado. El informe quedó registrado para revisión posterior.,tecnologia,ciberseguridad,tecnologia_ciberseguridad,el equipo de ciberseguridad detecto intentos de acceso no autorizado el informe quedo registrado para revision posterior
97,La migración a la nube redujo tiempos de despliegue del servicio.,tecnologia,nube,tecnologia_nube,la migracion a la nube redujo tiempos de despliegue del servicio
98,Una migración a la nube redujo tiempos de despliegue del servicio.,tecnologia,nube,tecnologia_nube,una migracion a la nube redujo tiempos de despliegue del servicio
99,La migración a la nube redujo tiempos de despliegue del servicio. El informe quedó registrado para revisión posterior.,tecnologia,nube,tecnologia_nube,la migracion a la nube redujo tiempos de despliegue del servicio el informe quedo registrado para revision posterior
100,La red institucional presentó latencia durante la transmisión de datos.,tecnologia,redes,tecnologia_redes,la red institucional presento latencia durante la transmision de datos
101,Una red institucional presentó latencia durante la transmisión de datos.,tecnologia,redes,tecnologia_redes,una red institucional presento latencia durante la transmision de datos
102,La red institucional presentó latencia durante la transmisión de datos. El informe quedó registrado para revisión posterior.,tecnologia,redes,tecnologia_redes,la red institucional presento latencia durante la transmision de datos el informe quedo registrado para revision posterior
103,El software de análisis procesó grandes volúmenes de texto.,tecnologia,software,tecnologia_software,el software de analisis proceso grandes volumenes de texto
104,Un software de análisis procesó grandes volúmenes de texto.,tecnologia,software,tecnologia_software,un software de analisis proceso grandes volumenes de texto
105,El software de análisis procesó grandes volúmenes de texto. El informe quedó registrado para revisión posterior.,tecnologia,software,tecnologia_software,el software de analisis proceso grandes volumenes de texto el informe quedo registrado para revision posterior
106,La base de datos almacenó registros históricos de operaciones.,tecnologia,base_datos,tecnologia_base_datos,la base de datos almaceno registros historicos de operaciones
107,Una base de datos almacenó registros históricos de operaciones.,tecnologia,base_datos,tecnologia_base_datos,una base de datos almaceno registros historicos de operaciones
108,La base de datos almacenó registros históricos de operaciones. El informe quedó registrado para revisión posterior.,tecnologia,base_datos,tecnologia_base_datos,la base de datos almaceno registros historicos de operaciones el informe quedo registrado para revision posterior
109,El modelo predictivo mejoró después de ajustar los parámetros.,tecnologia,modelo,tecnologia_modelo,el modelo predictivo mejoro despues de ajustar los parametros
110,Un modelo predictivo mejoró después de ajustar los parámetros.,tecnologia,modelo,tecnologia_modelo,un modelo predictivo mejoro despues de ajustar los parametros
111,El modelo predictivo mejoró después de ajustar los parámetros. El informe quedó registrado para revisión posterior.,tecnologia,modelo,tecnologia_modelo,el modelo predictivo mejoro despues de ajustar los parametros el informe quedo registrado para revision posterior
112,El servidor reinició servicios críticos después de una actualización.,tecnologia,servidor,tecnologia_servidor,el servidor reinicio servicios criticos despues de una actualizacion
113,Un servidor reinició servicios críticos después de una actualización.,tecnologia,servidor,tecnologia_servidor,un servidor reinicio servicios criticos despues de una actualizacion
114,El servidor reinició servicios críticos después de una actualización. El informe quedó registrado para revisión posterior.,tecnologia,servidor,tecnologia_servidor,el servidor reinicio servicios criticos despues de una actualizacion el informe quedo registrado para revision posterior
115,La automatización redujo errores en reportes repetitivos.,tecnologia,automatizacion,tecnologia_automatizacion,la automatizacion redujo errores en reportes repetitivos
116,Una automatización redujo errores en reportes repetitivos.,tecnologia,automatizacion,tecnologia_automatizacion,una automatizacion redujo errores en reportes repetitivos
117,La automatización redujo errores en reportes repetitivos. El informe quedó registrado para revisión posterior.,tecnologia,automatizacion,tecnologia_automatizacion,la automatizacion redujo errores en reportes repetitivos el informe quedo registrado para revision posterior
118,La API permitió integrar servicios externos con la plataforma interna.,tecnologia,api,tecnologia_api,la api permitio integrar servicios externos con la plataforma interna
119,Una API permitió integrar servicios externos con la plataforma interna.,tecnologia,api,tecnologia_api,una api permitio integrar servicios externos con la plataforma interna
120,La API permitió integrar servicios externos con la plataforma interna. El informe quedó registrado para revisión posterior.,tecnologia,api,tecnologia_api,la api permitio integrar servicios externos con la plataforma interna el informe quedo registrado para revision posterior
121,La policía atendió un incidente reportado en la zona comercial.,seguridad,incidente,seguridad_incidente,la policia atendio un incidente reportado en la zona comercial
122,Una policía atendió un incidente reportado en la zona comercial.,seguridad,incidente,seguridad_incidente,una policia atendio un incidente reportado en la zona comercial
123,La policía atendió un incidente reportado en la zona comercial. El informe quedó registrado para revisión posterior.,seguridad,incidente,seguridad_incidente,la policia atendio un incidente reportado en la zona comercial el informe quedo registrado para revision posterior
124,El análisis de riesgo identificó puntos vulnerables en el edificio.,seguridad,riesgo,seguridad_riesgo,el analisis de riesgo identifico puntos vulnerables en el edificio
125,Un análisis de riesgo identificó puntos vulnerables en el edificio.,seguridad,riesgo,seguridad_riesgo,un analisis de riesgo identifico puntos vulnerables en el edificio
126,El análisis de riesgo identificó puntos vulnerables en el edificio. El informe quedó registrado para revisión posterior.,seguridad,riesgo,seguridad_riesgo,el analisis de riesgo identifico puntos vulnerables en el edificio el informe quedo registrado para revision posterior
127,El sistema de vigilancia registró movimiento inusual durante la noche.,seguridad,vigilancia,seguridad_vigilancia,el sistema de vigilancia registro movimiento inusual durante la noche
128,Un sistema de vigilancia registró movimiento inusual durante la noche.,seguridad,vigilancia,seguridad_vigilancia,un sistema de vigilancia registro movimiento inusual durante la noche
129,El sistema de vigilancia registró movimiento inusual durante la noche. El informe quedó registrado para revisión posterior.,seguridad,vigilancia,seguridad_vigilancia,el sistema de vigilancia registro movimiento inusual durante la noche el informe quedo registrado para revision posterior
130,El protocolo de protección civil coordinó la evacuación del inmueble.,seguridad,proteccion,seguridad_proteccion,el protocolo de proteccion civil coordino la evacuacion del inmueble
131,Un protocolo de protección civil coordinó la evacuación del inmueble.,seguridad,proteccion,seguridad_proteccion,un protocolo de proteccion civil coordino la evacuacion del inmueble
132,El protocolo de protección civil coordinó la evacuación del inmueble. El informe quedó registrado para revisión posterior.,seguridad,proteccion,seguridad_proteccion,el protocolo de proteccion civil coordino la evacuacion del inmueble el informe quedo registrado para revision posterior
133,La investigación detectó posible fraude en operaciones electrónicas.,seguridad,fraude,seguridad_fraude,la investigacion detecto posible fraude en operaciones electronicas
134,Una investigación detectó posible fraude en operaciones electrónicas.,seguridad,fraude,seguridad_fraude,una investigacion detecto posible fraude en operaciones electronicas
135,La investigación detectó posible fraude en operaciones electrónicas. El informe quedó registrado para revisión posterior.,seguridad,fraude,seguridad_fraude,la investigacion detecto posible fraude en operaciones electronicas el informe quedo registrado para revision posterior
136,La alerta preventiva se activó por condiciones climáticas severas.,seguridad,alerta,seguridad_alerta,la alerta preventiva se activo por condiciones climaticas severas
137,Una alerta preventiva se activó por condiciones climáticas severas.,seguridad,alerta,seguridad_alerta,una alerta preventiva se activo por condiciones climaticas severas
138,La alerta preventiva se activó por condiciones climáticas severas. El informe quedó registrado para revisión posterior.,seguridad,alerta,seguridad_alerta,la alerta preventiva se activo por condiciones climaticas severas el informe quedo registrado para revision posterior
139,El control de acceso bloqueó credenciales vencidas.,seguridad,acceso,seguridad_acceso,el control de acceso bloqueo credenciales vencidas
140,Un control de acceso bloqueó credenciales vencidas.,seguridad,acceso,seguridad_acceso,un control de acceso bloqueo credenciales vencidas
141,El control de acceso bloqueó credenciales vencidas. El informe quedó registrado para revisión posterior.,seguridad,acceso,seguridad_acceso,el control de acceso bloqueo credenciales vencidas el informe quedo registrado para revision posterior
142,El patrullaje reforzó la seguridad en zonas escolares.,seguridad,patrullaje,seguridad_patrullaje,el patrullaje reforzo la seguridad en zonas escolares
143,Un patrullaje reforzó la seguridad en zonas escolares.,seguridad,patrullaje,seguridad_patrullaje,un patrullaje reforzo la seguridad en zonas escolares
144,El patrullaje reforzó la seguridad en zonas escolares. El informe quedó registrado para revisión posterior.,seguridad,patrullaje,seguridad_patrullaje,el patrullaje reforzo la seguridad en zonas escolares el informe quedo registrado para revision posterior
145,La denuncia ciudadana permitió ubicar el vehículo sospechoso.,seguridad,denuncia,seguridad_denuncia,la denuncia ciudadana permitio ubicar el vehiculo sospechoso
146,Una denuncia ciudadana permitió ubicar el vehículo sospechoso.,seguridad,denuncia,seguridad_denuncia,una denuncia ciudadana permitio ubicar el vehiculo sospechoso
147,La denuncia ciudadana permitió ubicar el vehículo sospechoso. El informe quedó registrado para revisión posterior.,seguridad,denuncia,seguridad_denuncia,la denuncia ciudadana permitio ubicar el vehiculo sospechoso el informe quedo registrado para revision posterior
148,El centro de monitoreo revisó cámaras y registros de entrada.,seguridad,monitoreo,seguridad_monitoreo,el centro de monitoreo reviso camaras y registros de entrada
149,Un centro de monitoreo revisó cámaras y registros de entrada.,seguridad,monitoreo,seguridad_monitoreo,un centro de monitoreo reviso camaras y registros de entrada
150,El centro de monitoreo revisó cámaras y registros de entrada. El informe quedó registrado para revisión posterior.,seguridad,monitoreo,seguridad_monitoreo,el centro de monitoreo reviso camaras y registros de entrada el informe quedo registrado para revision posterior
151,El equipo ganó el partido después de una estrategia defensiva sólida.,deporte,partido,deporte_partido,el equipo gano el partido despues de una estrategia defensiva solida
152,Un equipo ganó el partido después de una estrategia defensiva sólida.,deporte,partido,deporte_partido,un equipo gano el partido despues de una estrategia defensiva solida
153,El equipo ganó el partido después de una estrategia defensiva sólida. El informe quedó registrado para revisión posterior.,deporte,partido,deporte_partido,el equipo gano el partido despues de una estrategia defensiva solida el informe quedo registrado para revision posterior
154,El entrenamiento físico mejoró resistencia y coordinación del grupo.,deporte,entrenamiento,deporte_entrenamiento,el entrenamiento fisico mejoro resistencia y coordinacion del grupo
155,Un entrenamiento físico mejoró resistencia y coordinación del grupo.,deporte,entrenamiento,deporte_entrenamiento,un entrenamiento fisico mejoro resistencia y coordinacion del grupo
156,El entrenamiento físico mejoró resistencia y coordinación del grupo. El informe quedó registrado para revisión posterior.,deporte,entrenamiento,deporte_entrenamiento,el entrenamiento fisico mejoro resistencia y coordinacion del grupo el informe quedo registrado para revision posterior
157,El torneo universitario reunió selecciones de distintas facultades.,deporte,torneo,deporte_torneo,el torneo universitario reunio selecciones de distintas facultades
158,Un torneo universitario reunió selecciones de distintas facultades.,deporte,torneo,deporte_torneo,un torneo universitario reunio selecciones de distintas facultades
159,El torneo universitario reunió selecciones de distintas facultades. El informe quedó registrado para revisión posterior.,deporte,torneo,deporte_torneo,el torneo universitario reunio selecciones de distintas facultades el informe quedo registrado para revision posterior
160,La lesión muscular dejó al jugador fuera de la final.,deporte,lesion,deporte_lesion,la lesion muscular dejo al jugador fuera de la final
161,Una lesión muscular dejó al jugador fuera de la final.,deporte,lesion,deporte_lesion,una lesion muscular dejo al jugador fuera de la final
162,La lesión muscular dejó al jugador fuera de la final. El informe quedó registrado para revisión posterior.,deporte,lesion,deporte_lesion,la lesion muscular dejo al jugador fuera de la final el informe quedo registrado para revision posterior
163,El marcador cambió en los últimos minutos del encuentro.,deporte,marcador,deporte_marcador,el marcador cambio en los ultimos minutos del encuentro
164,Un marcador cambió en los últimos minutos del encuentro.,deporte,marcador,deporte_marcador,un marcador cambio en los ultimos minutos del encuentro
165,El marcador cambió en los últimos minutos del encuentro. El informe quedó registrado para revisión posterior.,deporte,marcador,deporte_marcador,el marcador cambio en los ultimos minutos del encuentro el informe quedo registrado para revision posterior
166,La atleta obtuvo medalla en la competencia nacional.,deporte,atleta,deporte_atleta,la atleta obtuvo medalla en la competencia nacional
167,Una atleta obtuvo medalla en la competencia nacional.,deporte,atleta,deporte_atleta,una atleta obtuvo medalla en la competencia nacional
168,La atleta obtuvo medalla en la competencia nacional. El informe quedó registrado para revisión posterior.,deporte,atleta,deporte_atleta,la atleta obtuvo medalla en la competencia nacional el informe quedo registrado para revision posterior
169,El árbitro revisó la jugada antes de validar el gol.,deporte,arbitro,deporte_arbitro,el arbitro reviso la jugada antes de validar el gol
170,Un árbitro revisó la jugada antes de validar el gol.,deporte,arbitro,deporte_arbitro,un arbitro reviso la jugada antes de validar el gol
171,El árbitro revisó la jugada antes de validar el gol. El informe quedó registrado para revisión posterior.,deporte,arbitro,deporte_arbitro,el arbitro reviso la jugada antes de validar el gol el informe quedo registrado para revision posterior
172,La cancha fue rehabilitada para actividades deportivas escolares.,deporte,cancha,deporte_cancha,la cancha fue rehabilitada para actividades deportivas escolares
173,Una cancha fue rehabilitada para actividades deportivas escolares.,deporte,cancha,deporte_cancha,una cancha fue rehabilitada para actividades deportivas escolares
