escenario,id_consulta,consulta,consulta_ajustada,dominio_esperado,relevancia_esperada,rank,id_documento,texto_documento,dominio_documento,relevancia_documento,score_coseno,es_relevante
con_ajuste,6,tratamiento medico despues de diagnostico,tratamiento medico despues de diagnostico,salud,salud_diagnostico,4,88,La productividad mejoró después de automatizar procesos administrativos.,economia,economia_productividad,0.1892,False
con_ajuste,6,tratamiento medico despues de diagnostico,tratamiento medico despues de diagnostico,salud,salud_diagnostico,5,89,Una productividad mejoró después de automatizar procesos administrativos.,economia,economia_productividad,0.1865,False
con_ajuste,7,campaña de inmunizacion preventiva,campana de inmunizacion preventiva vacunacion vacuna,salud,salud_vacuna,1,34,La campaña de vacunación reforzó la prevención de enfermedades estacionales.,salud,salud_vacuna,0.3988,True
con_ajuste,7,campaña de inmunizacion preventiva,campana de inmunizacion preventiva vacunacion vacuna,salud,salud_vacuna,2,35,Una campaña de vacunación reforzó la prevención de enfermedades estacionales.,salud,salud_vacuna,0.3983,True
con_ajuste,7,campaña de inmunizacion preventiva,campana de inmunizacion preventiva vacunacion vacuna,salud,salud_vacuna,3,36,La campaña de vacunación reforzó la prevención de enfermedades estacionales. El informe quedó registrado para revisión posterior.,salud,salud_vacuna,0.3588,True
con_ajuste,7,campaña de inmunizacion preventiva,campana de inmunizacion preventiva vacunacion vacuna,salud,salud_vacuna,4,136,La alerta preventiva se activó por condiciones climáticas severas.,seguridad,seguridad_alerta,0.1235,False
con_ajuste,7,campaña de inmunizacion preventiva,campana de inmunizacion preventiva vacunacion vacuna,salud,salud_vacuna,5,137,Una alerta preventiva se activó por condiciones climáticas severas.,seguridad,seguridad_alerta,0.1222,False
con_ajuste,8,historial clinico con resultados de laboratorio,historial clinico con resultados de laboratorio expediente clinico,salud,salud_expediente,1,58,El expediente clínico integró resultados de laboratorio y observaciones.,salud,salud_expediente,0.6652,True
con_ajuste,8,historial clinico con resultados de laboratorio,historial clinico con resultados de laboratorio expediente clinico,salud,salud_expediente,2,59,Un expediente clínico integró resultados de laboratorio y observaciones.,salud,salud_expediente,0.6565,True
con_ajuste,8,historial clinico con resultados de laboratorio,historial clinico con resultados de laboratorio expediente clinico,salud,salud_expediente,3,60,El expediente clínico integró resultados de laboratorio y observaciones. El informe quedó registrado para revisión posterior.,salud,salud_expediente,0.5832,True
con_ajuste,8,historial clinico con resultados de laboratorio,historial clinico con resultados de laboratorio expediente clinico,salud,salud_expediente,4,28,"El proyecto integrador documentó objetivos, dataset y resultados de aprendizaje.",educacion,educacion_proyecto,0.1249,False
con_ajuste,8,historial clinico con resultados de laboratorio,historial clinico con resultados de laboratorio expediente clinico,salud,salud_expediente,5,29,"Un proyecto integrador documentó objetivos, dataset y resultados de aprendizaje.",educacion,educacion_proyecto,0.1235,False
con_ajuste,9,prestamo financiero para negocios pequeños,prestamo financiero para negocios pequenos credito empresas,economia,economia_credito,1,67,El banco aprobó un crédito para pequeñas empresas locales.,economia,economia_credito,0.3166,True
con_ajuste,9,prestamo financiero para negocios pequeños,prestamo financiero para negocios pequenos credito empresas,economia,economia_credito,2,68,Un banco aprobó un crédito para pequeñas empresas locales.,economia,economia_credito,0.3077,True
con_ajuste,9,prestamo financiero para negocios pequeños,prestamo financiero para negocios pequenos credito empresas,economia,economia_credito,3,69,El banco aprobó un crédito para pequeñas empresas locales. El informe quedó registrado para revisión posterior.,economia,economia_credito,0.2989,True
con_ajuste,9,prestamo financiero para negocios pequeños,prestamo financiero para negocios pequenos credito empresas,economia,economia_credito,4,72,El mercado financiero reaccionó a los nuevos indicadores de crecimiento. El informe quedó registrado para revisión posterior.,economia,economia_mercado,0.1511,False
con_ajuste,9,prestamo financiero para negocios pequeños,prestamo financiero para negocios pequenos credito empresas,economia,economia_credito,5,70,El mercado financiero reaccionó a los nuevos indicadores de crecimiento.,economia,economia_mercado,0.1479,False
con_ajuste,10,bolsa de trabajo para analistas,bolsa de trabajo para analistas vacantes empleo,economia,economia_empleo,1,64,La empresa abrió vacantes para analistas de datos y desarrolladores.,economia,economia_empleo,0.4873,True
con_ajuste,10,bolsa de trabajo para analistas,bolsa de trabajo para analistas vacantes empleo,economia,economia_empleo,2,65,Una empresa abrió vacantes para analistas de datos y desarrolladores.,economia,economia_empleo,0.4812,True
con_ajuste,10,bolsa de trabajo para analistas,bolsa de trabajo para analistas vacantes empleo,economia,economia_empleo,3,66,La empresa abrió vacantes para analistas de datos y desarrolladores. El informe quedó registrado para revisión posterior.,economia,economia_empleo,0.449,True
con_ajuste,10,bolsa de trabajo para analistas,bolsa de trabajo para analistas vacantes empleo,economia,economia_empleo,4,3,La universidad publicó una convocatoria de becas académicas para estudiantes de posgrado. El informe quedó registrado para revisión posterior.,educacion,educacion_becas,0.0512,False
con_ajuste,10,bolsa de trabajo para analistas,bolsa de trabajo para analistas vacantes empleo,economia,economia_empleo,5,27,El curso de inteligencia artificial incluyó actividades de análisis de texto. El informe quedó registrado para revisión posterior.,educacion,educacion_curso,0.0503,False
con_ajuste,11,aumento general de precios,aumento general de precios,economia,economia_inflacion,1,61,El reporte económico señaló aumento de inflación durante el trimestre.,economia,economia_inflacion,0.2325,True
con_ajuste,11,aumento general de precios,aumento general de precios,economia,economia_inflacion,2,62,Un reporte económico señaló aumento de inflación durante el trimestre.,economia,economia_inflacion,0.2315,True
con_ajuste,11,aumento general de precios,aumento general de precios,economia,economia_inflacion,3,76,El salario promedio aumentó en sectores tecnológicos especializados.,economia,economia_salario,0.2302,False
con_ajuste,11,aumento general de precios,aumento general de precios,economia,economia_inflacion,4,77,Un salario promedio aumentó en sectores tecnológicos especializados.,economia,economia_salario,0.2273,False
con_ajuste,11,aumento general de precios,aumento general de precios,economia,economia_inflacion,5,63,El reporte económico señaló aumento de inflación durante el trimestre. El informe quedó registrado para revisión posterior.,economia,economia_inflacion,0.2077,True
con_ajuste,12,compras digitales con crecimiento de ventas,compras digitales con crecimiento de ventas,economia,economia_comercio,1,79,El comercio electrónico reportó crecimiento en ventas durante la temporada.,economia,economia_comercio,0.2447,True
con_ajuste,12,compras digitales con crecimiento de ventas,compras digitales con crecimiento de ventas,economia,economia_comercio,2,80,Un comercio electrónico reportó crecimiento en ventas durante la temporada.,economia,economia_comercio,0.2421,True
con_ajuste,12,compras digitales con crecimiento de ventas,compras digitales con crecimiento de ventas,economia,economia_comercio,3,81,El comercio electrónico reportó crecimiento en ventas durante la temporada. El informe quedó registrado para revisión posterior.,economia,economia_comercio,0.2194,True
con_ajuste,12,compras digitales con crecimiento de ventas,compras digitales con crecimiento de ventas,economia,economia_comercio,4,82,La reforma ajustó reglas de impuestos para contribuyentes digitales.,economia,economia_impuestos,0.1559,False
con_ajuste,12,compras digitales con crecimiento de ventas,compras digitales con crecimiento de ventas,economia,economia_comercio,5,83,Una reforma ajustó reglas de impuestos para contribuyentes digitales.,economia,economia_impuestos,0.154,False
con_ajuste,13,modelo de IA para clasificar textos,modelo de ia para clasificar textos inteligencia artificial,tecnologia,tecnologia_ia,1,25,El curso de inteligencia artificial incluyó actividades de análisis de texto.,educacion,educacion_curso,0.3487,False
con_ajuste,13,modelo de IA para clasificar textos,modelo de ia para clasificar textos inteligencia artificial,tecnologia,tecnologia_ia,2,26,Un curso de inteligencia artificial incluyó actividades de análisis de texto.,educacion,educacion_curso,0.3449,False
con_ajuste,13,modelo de IA para clasificar textos,modelo de ia para clasificar textos inteligencia artificial,tecnologia,tecnologia_ia,3,27,El curso de inteligencia artificial incluyó actividades de análisis de texto. El informe quedó registrado para revisión posterior.,educacion,educacion_curso,0.3316,False
con_ajuste,13,modelo de IA para clasificar textos,modelo de ia para clasificar textos inteligencia artificial,tecnologia,tecnologia_ia,4,91,El sistema de inteligencia artificial clasificó documentos por intención del usuario.,tecnologia,tecnologia_ia,0.3113,True
con_ajuste,13,modelo de IA para clasificar textos,modelo de ia para clasificar textos inteligencia artificial,tecnologia,tecnologia_ia,5,92,Un sistema de inteligencia artificial clasificó documentos por intención del usuario.,tecnologia,tecnologia_ia,0.308,True
con_ajuste,14,seguridad informatica contra accesos no autorizados,seguridad informatica contra accesos no autorizados ciberseguridad,tecnologia,tecnologia_ciberseguridad,1,94,El equipo de ciberseguridad detectó intentos de acceso no autorizado.,tecnologia,tecnologia_ciberseguridad,0.2961,True
con_ajuste,14,seguridad informatica contra accesos no autorizados,seguridad informatica contra accesos no autorizados ciberseguridad,tecnologia,tecnologia_ciberseguridad,2,95,Un equipo de ciberseguridad detectó intentos de acceso no autorizado.,tecnologia,tecnologia_ciberseguridad,0.2925,True
con_ajuste,14,seguridad informatica contra accesos no autorizados,seguridad informatica contra accesos no autorizados ciberseguridad,tecnologia,tecnologia_ciberseguridad,3,96,El equipo de ciberseguridad detectó intentos de acceso no autorizado. El informe quedó registrado para revisión posterior.,tecnologia,tecnologia_ciberseguridad,0.2646,True
con_ajuste,14,seguridad informatica contra accesos no autorizados,seguridad informatica contra accesos no autorizados ciberseguridad,tecnologia,tecnologia_ciberseguridad,4,142,El patrullaje reforzó la seguridad en zonas escolares.,seguridad,seguridad_patrullaje,0.1663,False
con_ajuste,14,seguridad informatica contra accesos no autorizados,seguridad informatica contra accesos no autorizados ciberseguridad,tecnologia,tecnologia_ciberseguridad,5,143,Un patrullaje reforzó la seguridad en zonas escolares.,seguridad,seguridad_patrullaje,0.164,False
con_ajuste,15,despliegue de servicios en infraestructura cloud,despliegue de servicios en infraestructura cloud nube,tecnologia,tecnologia_nube,1,97,La migración a la nube redujo tiempos de despliegue del servicio.,tecnologia,tecnologia_nube,0.2539,True
con_ajuste,15,despliegue de servicios en infraestructura cloud,despliegue de servicios en infraestructura cloud nube,tecnologia,tecnologia_nube,2,98,Una migración a la nube redujo tiempos de despliegue del servicio.,tecnologia,tecnologia_nube,0.2537,True
con_ajuste,15,despliegue de servicios en infraestructura cloud,despliegue de servicios en infraestructura cloud nube,tecnologia,tecnologia_nube,3,99,La migración a la nube redujo tiempos de despliegue del servicio. El informe quedó registrado para revisión posterior.,tecnologia,tecnologia_nube,0.2293,True
con_ajuste,15,despliegue de servicios en infraestructura cloud,despliegue de servicios en infraestructura cloud nube,tecnologia,tecnologia_nube,4,73,La inversión pública impulsó obras de infraestructura regional.,economia,economia_inversion,0.1446,False
con_ajuste,15,despliegue de servicios en infraestructura cloud,despliegue de servicios en infraestructura cloud nube,tecnologia,tecnologia_nube,5,74,Una inversión pública impulsó obras de infraestructura regional.,economia,economia_inversion,0.1427,False
con_ajuste,16,servicio web para conectar sistemas externos,servicio web para conectar sistemas externos api,tecnologia,tecnologia_api,1,118,La API permitió integrar servicios externos con la plataforma interna.,tecnologia,tecnologia_api,0.2791,True
con_ajuste,16,servicio web para conectar sistemas externos,servicio web para conectar sistemas externos api,tecnologia,tecnologia_api,2,119,Una API permitió integrar servicios externos con la plataforma interna.,tecnologia,tecnologia_api,0.2787,True
con_ajuste,16,servicio web para conectar sistemas externos,servicio web para conectar sistemas externos api,tecnologia,tecnologia_api,3,120,La API permitió integrar servicios externos con la plataforma interna. El informe quedó registrado para revisión posterior.,tecnologia,tecnologia_api,0.2711,True
con_ajuste,16,servicio web para conectar sistemas externos,servicio web para conectar sistemas externos api,tecnologia,tecnologia_api,4,99,La migración a la nube redujo tiempos de despliegue del servicio. El informe quedó registrado para revisión posterior.,tecnologia,tecnologia_nube,0.146,False
con_ajuste,16,servicio web para conectar sistemas externos,servicio web para conectar sistemas externos api,tecnologia,tecnologia_api,5,97,La migración a la nube redujo tiempos de despliegue del servicio.,tecnologia,tecnologia_nube,0.1408,False
con_ajuste,17,reporte de delito en zona comercial,reporte de delito en zona comercial incidente,seguridad,seguridad_incidente,1,121,La policía atendió un incidente reportado en la zona comercial.,seguridad,seguridad_incidente,0.4686,True
con_ajuste,17,reporte de delito en zona comercial,reporte de delito en zona comercial incidente,seguridad,seguridad_incidente,2,122,Una policía atendió un incidente reportado en la zona comercial.,seguridad,seguridad_incidente,0.4681,True
con_ajuste,17,reporte de delito en zona comercial,reporte de delito en zona comercial incidente,seguridad,seguridad_incidente,3,123,La policía atendió un incidente reportado en la zona comercial. El informe quedó registrado para revisión posterior.,seguridad,seguridad_incidente,0.4225,True
con_ajuste,17,reporte de delito en zona comercial,reporte de delito en zona comercial incidente,seguridad,seguridad_incidente,4,61,El reporte económico señaló aumento de inflación durante el trimestre.,economia,economia_inflacion,0.1164,False
con_ajuste,17,reporte de delito en zona comercial,reporte de delito en zona comercial incidente,seguridad,seguridad_incidente,5,62,Un reporte económico señaló aumento de inflación durante el trimestre.,economia,economia_inflacion,0.1159,False
con_ajuste,18,evaluacion de vulnerabilidades del edificio,evaluacion de vulnerabilidades del edificio riesgo,seguridad,seguridad_riesgo,1,124,El análisis de riesgo identificó puntos vulnerables en el edificio.,seguridad,seguridad_riesgo,0.2838,True
con_ajuste,18,evaluacion de vulnerabilidades del edificio,evaluacion de vulnerabilidades del edificio riesgo,seguridad,seguridad_riesgo,2,125,Un análisis de riesgo identificó puntos vulnerables en el edificio.,seguridad,seguridad_riesgo,0.2826,True
con_ajuste,18,evaluacion de vulnerabilidades del edificio,evaluacion de vulnerabilidades del edificio riesgo,seguridad,seguridad_riesgo,3,126,El análisis de riesgo identificó puntos vulnerables en el edificio. El informe quedó registrado para revisión posterior.,seguridad,seguridad_riesgo,0.2526,True
con_ajuste,18,evaluacion de vulnerabilidades del edificio,evaluacion de vulnerabilidades del edificio riesgo,seguridad,seguridad_riesgo,4,13,"La evaluación práctica revisó código, resultados y explicación técnica.",educacion,educacion_evaluacion,0.1462,False
con_ajuste,18,evaluacion de vulnerabilidades del edificio,evaluacion de vulnerabilidades del edificio riesgo,seguridad,seguridad_riesgo,5,14,"Una evaluación práctica revisó código, resultados y explicación técnica.",educacion,educacion_evaluacion,0.1443,False
con_ajuste,19,camara registra movimiento nocturno,camara registra movimiento nocturno vigilancia,seguridad,seguridad_vigilancia,1,127,El sistema de vigilancia registró movimiento inusual durante la noche.,seguridad,seguridad_vigilancia,0.3674,True
con_ajuste,19,camara registra movimiento nocturno,camara registra movimiento nocturno vigilancia,seguridad,seguridad_vigilancia,2,128,Un sistema de vigilancia registró movimiento inusual durante la noche.,seguridad,seguridad_vigilancia,0.3629,True
con_ajuste,19,camara registra movimiento nocturno,camara registra movimiento nocturno vigilancia,seguridad,seguridad_vigilancia,3,129,El sistema de vigilancia registró movimiento inusual durante la noche. El informe quedó registrado para revisión posterior.,seguridad,seguridad_vigilancia,0.3275,True
con_ajuste,19,camara registra movimiento nocturno,camara registra movimiento nocturno vigilancia,seguridad,seguridad_vigilancia,4,180,El rendimiento deportivo fue evaluado con pruebas de velocidad. El informe quedó registrado para revisión posterior.,deporte,deporte_rendimiento,0.0,False
con_ajuste,19,camara registra movimiento nocturno,camara registra movimiento nocturno vigilancia,seguridad,seguridad_vigilancia,5,56,Un plan de nutrición recomendó reducir azúcar y aumentar fibra.,salud,salud_nutricion,0.0,False
con_ajuste,20,bloqueo de credenciales vencidas,bloqueo de credenciales vencidas,seguridad,seguridad_acceso,1,139,El control de acceso bloqueó credenciales vencidas.,seguridad,seguridad_acceso,0.6128,True
con_ajuste,20,bloqueo de credenciales vencidas,bloqueo de credenciales vencidas,seguridad,seguridad_acceso,2,140,Un control de acceso bloqueó credenciales vencidas.,seguridad,seguridad_acceso,0.6035,True
con_ajuste,20,bloqueo de credenciales vencidas,bloqueo de credenciales vencidas,seguridad,seguridad_acceso,3,141,El control de acceso bloqueó credenciales vencidas. El informe quedó registrado para revisión posterior.,seguridad,seguridad_acceso,0.5269,True
con_ajuste,20,bloqueo de credenciales vencidas,bloqueo de credenciales vencidas,seguridad,seguridad_acceso,4,25,El curso de inteligencia artificial incluyó actividades de análisis de texto.,educacion,educacion_curso,0.031,False
con_ajuste,20,bloqueo de credenciales vencidas,bloqueo de credenciales vencidas,seguridad,seguridad_acceso,5,26,Un curso de inteligencia artificial incluyó actividades de análisis de texto.,educacion,educacion_curso,0.0307,False
con_ajuste,21,competencia universitaria entre selecciones,competencia universitaria entre selecciones torneo,deporte,deporte_torneo,1,157,El torneo universitario reunió selecciones de distintas facultades.,deporte,deporte_torneo,0.2952,True
con_ajuste,21,competencia universitaria entre selecciones,competencia universitaria entre selecciones torneo,deporte,deporte_torneo,2,158,Un torneo universitario reunió selecciones de distintas facultades.,deporte,deporte_torneo,0.2914,True
con_ajuste,21,competencia universitaria entre selecciones,competencia universitaria entre selecciones torneo,deporte,deporte_torneo,3,166,La atleta obtuvo medalla en la competencia nacional.,deporte,deporte_atleta,0.2791,False
con_ajuste,21,competencia universitaria entre selecciones,competencia universitaria entre selecciones torneo,deporte,deporte_torneo,4,167,Una atleta obtuvo medalla en la competencia nacional.,deporte,deporte_atleta,0.2788,False
con_ajuste,21,competencia universitaria entre selecciones,competencia universitaria entre selecciones torneo,deporte,deporte_torneo,5,159,El torneo universitario reunió selecciones de distintas facultades. El informe quedó registrado para revisión posterior.,deporte,deporte_torneo,0.2596,True
con_ajuste,22,jugador lesionado antes de la final,jugador lesionado antes de la final,deporte,deporte_lesion,1,160,La lesión muscular dejó al jugador fuera de la final.,deporte,deporte_lesion,0.4478,True
con_ajuste,22,jugador lesionado antes de la final,jugador lesionado antes de la final,deporte,deporte_lesion,2,161,Una lesión muscular dejó al jugador fuera de la final.,deporte,deporte_lesion,0.4313,True
con_ajuste,22,jugador lesionado antes de la final,jugador lesionado antes de la final,deporte,deporte_lesion,3,162,La lesión muscular dejó al jugador fuera de la final. El informe quedó registrado para revisión posterior.,deporte,deporte_lesion,0.4057,True
con_ajuste,22,jugador lesionado antes de la final,jugador lesionado antes de la final,deporte,deporte_lesion,4,169,El árbitro revisó la jugada antes de validar el gol.,deporte,deporte_arbitro,0.1932,False
con_ajuste,22,jugador lesionado antes de la final,jugador lesionado antes de la final,deporte,deporte_lesion,5,170,Un árbitro revisó la jugada antes de validar el gol.,deporte,deporte_arbitro,0.1923,False
con_ajuste,23,resultado del encuentro en ultimos minutos,resultado del encuentro en ultimos minutos marcador,deporte,deporte_marcador,1,163,El marcador cambió en los últimos minutos del encuentro.,deporte,deporte_marcador,0.6792,True
con_ajuste,23,resultado del encuentro en ultimos minutos,resultado del encuentro en ultimos minutos marcador,deporte,deporte_marcador,2,164,Un marcador cambió en los últimos minutos del encuentro.,deporte,deporte_marcador,0.6714,True
con_ajuste,23,resultado del encuentro en ultimos minutos,resultado del encuentro en ultimos minutos marcador,deporte,deporte_marcador,3,165,El marcador cambió en los últimos minutos del encuentro. El informe quedó registrado para revisión posterior.,deporte,deporte_marcador,0.6046,True
con_ajuste,23,resultado del encuentro en ultimos minutos,resultado del encuentro en ultimos minutos marcador,deporte,deporte_marcador,4,154,El entrenamiento físico mejoró resistencia y coordinación del grupo.,deporte,deporte_entrenamiento,0.044,False
con_ajuste,23,resultado del encuentro en ultimos minutos,resultado del encuentro en ultimos minutos marcador,deporte,deporte_marcador,5,155,Un entrenamiento físico mejoró resistencia y coordinación del grupo.,deporte,deporte_entrenamiento,0.0435,False
con_ajuste,24,pruebas fisicas para medir velocidad,pruebas fisicas para medir velocidad rendimiento deportivo,deporte,deporte_rendimiento,1,178,El rendimiento deportivo fue evaluado con pruebas de velocidad.,deporte,deporte_rendimiento,0.5793,True
con_ajuste,24,pruebas fisicas para medir velocidad,pruebas fisicas para medir velocidad rendimiento deportivo,deporte,deporte_rendimiento,2,179,Un rendimiento deportivo fue evaluado con pruebas de velocidad.,deporte,deporte_rendimiento,0.5726,True
con_ajuste,24,pruebas fisicas para medir velocidad,pruebas fisicas para medir velocidad rendimiento deportivo,deporte,deporte_rendimiento,3,180,El rendimiento deportivo fue evaluado con pruebas de velocidad. El informe quedó registrado para revisión posterior.,deporte,deporte_rendimiento,0.5304,True
con_ajuste,24,pruebas fisicas para medir velocidad,pruebas fisicas para medir velocidad rendimiento deportivo,deporte,deporte_rendimiento,4,174,La cancha fue rehabilitada para actividades deportivas escolares. El informe quedó registrado para revisión posterior.,deporte,deporte_cancha,0.0323,False
con_ajuste,24,pruebas fisicas para medir velocidad,pruebas fisicas para medir velocidad rendimiento deportivo,deporte,deporte_rendimiento,5,66,La empresa abrió vacantes para analistas de datos y desarrolladores. El informe quedó registrado para revisión posterior.,economia,economia_empleo,0.0313,False
