id,texto,intencion,texto_limpio,entidades_detectadas
77,Saludos cordiales,saludo_cierre,saludos cordiales,SIN_ENTIDAD
78,Saludos cordiales,saludo_cierre,saludos cordiales,SIN_ENTIDAD
79,Saludos cordiales,saludo_cierre,saludos cordiales,SIN_ENTIDAD
80,Quedo atento a sus comentarios,saludo_cierre,quedo atento a sus comentarios,SIN_ENTIDAD
81,Quedo atento a sus comentarios,saludo_cierre,quedo atento a sus comentarios,SIN_ENTIDAD
82,Entendido muchas gracias,saludo_cierre,entendido muchas gracias,SIN_ENTIDAD
83,Entendido muchas gracias,saludo_cierre,entendido muchas gracias,SIN_ENTIDAD
84,Saludos cordiales,saludo_cierre,saludos cordiales,SIN_ENTIDAD
85,Buenos dias profesor,saludo_cierre,buenos dias profesor,SIN_ENTIDAD
86,Saludos cordiales,saludo_cierre,saludos cordiales,SIN_ENTIDAD
87,Buenos dias profesor,saludo_cierre,buenos dias profesor,SIN_ENTIDAD
88,Saludos cordiales,saludo_cierre,saludos cordiales,SIN_ENTIDAD
89,Quedo atento a sus comentarios,saludo_cierre,quedo atento a sus comentarios,SIN_ENTIDAD
90,Quedo atento a sus comentarios,saludo_cierre,quedo atento a sus comentarios,SIN_ENTIDAD
91,Donde solicito el comprobante,tramite_administrativo,donde solicito el comprobante,SIN_ENTIDAD
92,Como hago el tramite de reinscripcion,tramite_administrativo,como hago el tramite de reinscripcion,SIN_ENTIDAD
93,Necesito constancia de estudios,tramite_administrativo,necesito constancia de estudios,SIN_ENTIDAD
94,Necesito constancia de estudios,tramite admin,necesito constancia de estudios,SIN_ENTIDAD
95,Como hago el tramite de reinscripcion,tramite_administrativo,como hago el tramite de reinscripcion,SIN_ENTIDAD
96,Donde solicito el comprobante,tramite_administrativo,donde solicito el comprobante,SIN_ENTIDAD
97,Como hago el tramite de reinscripcion,tramite_administrativo,como hago el tramite de reinscripcion,SIN_ENTIDAD
98,Como hago el tramite de reinscripcion,tramite_administrativo,como hago el tramite de reinscripcion,SIN_ENTIDAD
99,Necesito constancia de estudios,tramite_administrativo,necesito constancia de estudios,SIN_ENTIDAD
100,Donde solicito el comprobante,tramite_administrativo,donde solicito el comprobante,SIN_ENTIDAD
101,Requiero informacion administrativa,tramite_administrativo,requiero informacion administrativa,SIN_ENTIDAD
102,Cuando entregan boletas,tramite_administrativo,cuando entregan boletas,proyecto:entrega
103,Donde solicito el comprobante,tramite_administrativo,donde solicito el comprobante,SIN_ENTIDAD
104,Requiero informacion administrativa,tramite_administrativo,requiero informacion administrativa,SIN_ENTIDAD
105,Como hago el tramite de reinscripcion,tramite_administrativo,como hago el tramite de reinscripcion,SIN_ENTIDAD
106,Debemos usar Classroom para el proyecto,consulta_proyecto,debemos usar classroom para el proyecto,plataforma:classroom | proyecto:proyecto
107,El proyecto debe incluir confiabilidad,consulta_proyecto,el proyecto debe incluir confiabilidad,proyecto:proyecto
108,El avance del proyecto lleva PDF,consulta_proyecto,el avance del proyecto lleva pdf,archivo:pdf | proyecto:proyecto
109,El avance del proyecto lleva PDF,consulta_proyecto,el avance del proyecto lleva pdf,archivo:pdf | proyecto:proyecto
110,Como integramos normalizacion en el producto,consulta_proyecto,como integramos normalizacion en el producto,concepto:normalizacion
111,Que alcance tiene el proyecto integrador,consulta-proyecto,que alcance tiene el proyecto integrador,proyecto:proyecto
112,Debemos usar Teams para el proyecto,consulta_proyecto,debemos usar teams para el proyecto,plataforma:teams | proyecto:proyecto
113,El avance del proyecto lleva PDF,consulta_proyecto,el avance del proyecto lleva pdf,archivo:pdf | proyecto:proyecto
114,Debemos usar Classroom para el proyecto,consulta_proyecto,debemos usar classroom para el proyecto,plataforma:classroom | proyecto:proyecto
115,Debemos usar Teams para el proyecto,consulta_proyecto,debemos usar teams para el proyecto,plataforma:teams | proyecto:proyecto
116,El proyecto debe incluir normalizacion,consulta_proyecto,el proyecto debe incluir normalizacion,concepto:normalizacion | proyecto:proyecto
117,El avance del proyecto lleva notebook,consulta_proyecto,el avance del proyecto lleva notebook,proyecto:proyecto
118,Debemos usar Teams para el proyecto,consulta_proyecto,debemos usar teams para el proyecto,plataforma:teams | proyecto:proyecto
119,El proyecto debe incluir entidades,consulta_proyecto,el proyecto debe incluir entidades,concepto:entidades | proyecto:proyecto
120,El proyecto debe incluir ambiguedad,consulta_proyecto,el proyecto debe incluir ambiguedad,concepto:ambiguedad | proyecto:proyecto
