id,texto,tipo_esperado,raiz_detectada,sujeto_detectada,objeto_detectado,dependencias_principales,posible_dificultad,observacion_automatica
30,La alumna comparó resultados en la tabla,sintagma_preposicional,['comparó'],alumna,resultados,"det(alumna, La) | nsubj(comparó, alumna) | ROOT(comparó, comparó) | obj(comparó, resultados) | case(tabla, en)",Baja,Análisis estándar realizado.
31,El sistema detectó patrones en los documentos,sintagma_preposicional,['detectó'],sistema,patrones,"det(sistema, El) | nsubj(detectó, sistema) | ROOT(detectó, detectó) | obj(detectó, patrones) | case(documentos, en)",Baja,Análisis estándar realizado.
32,El algoritmo procesó oraciones con estructuras simples,sintagma_preposicional,['procesó'],algoritmo,oraciones,"det(algoritmo, El) | nsubj(procesó, algoritmo) | ROOT(procesó, procesó) | obj(procesó, oraciones) | case(estructuras, con)",Baja,Análisis estándar realizado.
33,La herramienta identificó dependencias en la oración,sintagma_preposicional,['identificó'],herramienta,dependencias,"det(herramienta, La) | nsubj(identificó, herramienta) | ROOT(identificó, identificó) | obj(identificó, dependencias) | case(oración, en)",Baja,Análisis estándar realizado.
34,El docente explicó el tema con ejemplos claros,sintagma_preposicional,['explicó'],docente,tema,"det(docente, El) | nsubj(explicó, docente) | ROOT(explicó, explicó) | det(tema, el) | obj(explicó, tema)",Baja,Análisis estándar realizado.
35,El equipo revisó el análisis durante la clase,sintagma_preposicional,['revisó'],equipo,análisis,"det(equipo, El) | nsubj(revisó, equipo) | ROOT(revisó, revisó) | det(análisis, el) | obj(revisó, análisis)",Baja,Análisis estándar realizado.
36,La gramática aceptó la oración con sintagma preposicional,sintagma_preposicional,['aceptó'],gramática,oración,"det(gramática, La) | nsubj(aceptó, gramática) | ROOT(aceptó, aceptó) | det(oración, la) | obj(aceptó, oración)",Baja,Análisis estándar realizado.
37,El programa guardó los resultados en el archivo,sintagma_preposicional,['guardó'],programa,resultados,"det(programa, El) | nsubj(guardó, programa) | ROOT(guardó, guardó) | det(resultados, los) | obj(guardó, resultados)",Baja,Análisis estándar realizado.
38,La clase comparó modelos con criterios técnicos,sintagma_preposicional,['comparó'],clase,modelos,"det(clase, La) | nsubj(comparó, clase) | ROOT(comparó, comparó) | obj(comparó, modelos) | case(criterios, con)",Baja,Análisis estándar realizado.
39,El alumno ejecutó el script en el ambiente conda,sintagma_preposicional,['ejecutó'],alumno,script,"det(alumno, El) | nsubj(ejecutó, alumno) | ROOT(ejecutó, ejecutó) | det(script, el) | obj(ejecutó, script)",Baja,Análisis estándar realizado.
40,La salida mostró relaciones entre palabras,sintagma_preposicional,['mostró'],salida,relaciones,"det(salida, La) | nsubj(mostró, salida) | ROOT(mostró, mostró) | obj(mostró, relaciones) | case(palabras, entre)",Baja,Análisis estándar realizado.
41,El reporte incluyó capturas de ejecución en terminal,sintagma_preposicional,['incluyó'],reporte,capturas,"det(reporte, El) | nsubj(incluyó, reporte) | ROOT(incluyó, incluyó) | obj(incluyó, capturas) | case(ejecución, de)",Baja,Análisis estándar realizado.
42,La función extrajo sujetos de las oraciones,sintagma_preposicional,['extrajo'],función,sujetos,"det(función, La) | nsubj(extrajo, función) | ROOT(extrajo, extrajo) | obj(extrajo, sujetos) | case(oraciones, de)",Baja,Análisis estándar realizado.
43,El modelo trabajó con datos del corpus,sintagma_preposicional,['trabajó'],modelo,No detectado,"det(modelo, El) | nsubj(trabajó, modelo) | ROOT(trabajó, trabajó) | case(datos, con) | obl(trabajó, datos)",Baja,Análisis estándar realizado.
44,La tabla mostró errores en algunas filas,sintagma_preposicional,['mostró'],tabla,errores,"det(tabla, La) | nsubj(mostró, tabla) | ROOT(mostró, mostró) | obj(mostró, errores) | case(filas, en)",Baja,Análisis estándar realizado.
45,El parser conectó tokens con etiquetas gramaticales,sintagma_preposicional,['conectó'],parser,tokens,"det(parser, El) | nsubj(conectó, parser) | ROOT(conectó, conectó) | obj(conectó, tokens) | case(etiquetas, con)",Baja,Análisis estándar realizado.
46,La revisión encontró diferencias entre enfoques,sintagma_preposicional,['encontró'],revisión,diferencias,"det(revisión, La) | nsubj(encontró, revisión) | ROOT(encontró, encontró) | obj(encontró, diferencias) | case(enfoques, entre)",Baja,Análisis estándar realizado.
47,El análisis se realizó sobre un dataset amplio,sintagma_preposicional,['realizó'],análisis,No detectado,"det(análisis, El) | nsubj(realizó, análisis) | expl:pass(realizó, se) | ROOT(realizó, realizó) | case(dataset, sobre)",Baja,Análisis estándar realizado.
48,La evidencia se organizó en un documento PDF,sintagma_preposicional,['organizó'],evidencia,No detectado,"det(evidencia, La) | nsubj(organizó, evidencia) | expl:pass(organizó, se) | ROOT(organizó, organizó) | case(documento, en)",Baja,Análisis estándar realizado.
49,El código generó archivos en la carpeta de salida,sintagma_preposicional,['generó'],código,archivos,"det(código, El) | nsubj(generó, código) | ROOT(generó, generó) | obj(generó, archivos) | case(carpeta, en)",Baja,Análisis estándar realizado.
50,La interpretación se apoyó en resultados automáticos,sintagma_preposicional,['apoyó'],interpretación,No detectado,"det(interpretación, La) | nsubj(apoyó, interpretación) | expl:pv(apoyó, se) | ROOT(apoyó, apoyó) | case(resultados, en)",Baja,Análisis estándar realizado.
51,Vi al estudiante con el telescopio,ambigua,['Vi'],No detectado,estudiante,"ROOT(Vi, Vi) | case(estudiante, al) | obj(Vi, estudiante) | case(telescopio, con) | det(telescopio, el)",Baja,Análisis estándar realizado.
52,El profesor calificó el proyecto difícil,ambigua,['calificó'],profesor,proyecto,"det(profesor, El) | nsubj(calificó, profesor) | ROOT(calificó, calificó) | det(proyecto, el) | obj(calificó, proyecto)",Baja,Análisis estándar realizado.
53,El gobierno anunció inversión en hospitales,ambigua,['anunció'],gobierno,inversión,"det(gobierno, El) | nsubj(anunció, gobierno) | ROOT(anunció, anunció) | obj(anunció, inversión) | case(hospitales, en)",Baja,Análisis estándar realizado.
54,La alumna observó al investigador con la cámara,ambigua,['observó'],alumna,investigador,"det(alumna, La) | nsubj(observó, alumna) | ROOT(observó, observó) | case(investigador, al) | obj(observó, investigador)",Baja,Análisis estándar realizado.
55,El docente revisó el reporte con errores,ambigua,['revisó'],docente,reporte,"det(docente, El) | nsubj(revisó, docente) | ROOT(revisó, revisó) | det(reporte, el) | obj(revisó, reporte)",Baja,Análisis estándar realizado.
56,El sistema analizó documentos de alumnos avanzados,ambigua,['analizó'],sistema,documentos,"det(sistema, El) | nsubj(analizó, sistema) | ROOT(analizó, analizó) | obj(analizó, documentos) | case(alumnos, de)",Baja,Análisis estándar realizado.
57,La profesora explicó la práctica con ejemplos complejos,ambigua,['explicó'],profesora,"práctica, complejos","det(profesora, La) | nsubj(explicó, profesora) | ROOT(explicó, explicó) | det(práctica, la) | obj(explicó, práctica)",Baja,Análisis estándar realizado.
58,El estudiante presentó el análisis del modelo nuevo,ambigua,['presentó'],estudiante,análisis,"det(estudiante, El) | nsubj(presentó, estudiante) | ROOT(presentó, presentó) | det(análisis, el) | obj(presentó, análisis)",Baja,Análisis estándar realizado.
59,El parser procesó la oración con la herramienta,ambigua,['procesó'],parser,oración,"det(parser, El) | nsubj(procesó, parser) | ROOT(procesó, procesó) | det(oración, la) | obj(procesó, oración)",Baja,Análisis estándar realizado.
60,El equipo evaluó el resultado del programa automático,ambigua,['evaluó'],equipo,resultado,"det(equipo, El) | nsubj(evaluó, equipo) | ROOT(evaluó, evaluó) | det(resultado, el) | obj(evaluó, resultado)",Baja,Análisis estándar realizado.
61,La universidad publicó resultados de estudiantes sobresalientes,ambigua,['publicó'],universidad,resultados,"det(universidad, La) | nsubj(publicó, universidad) | ROOT(publicó, publicó) | obj(publicó, resultados) | case(estudiantes, de)",Baja,Análisis estándar realizado.
62,El algoritmo detectó relaciones entre textos similares,ambigua,['detectó'],algoritmo,relaciones,"det(algoritmo, El) | nsubj(detectó, algoritmo) | ROOT(detectó, detectó) | obj(detectó, relaciones) | case(textos, entre)",Baja,Análisis estándar realizado.
63,El alumno revisó el archivo con la profesora,ambigua,['revisó'],alumno,archivo,"det(alumno, El) | nsubj(revisó, alumno) | ROOT(revisó, revisó) | det(archivo, el) | obj(revisó, archivo)",Baja,Análisis estándar realizado.
64,La investigadora describió el experimento con precisión,ambigua,['describió'],investigadora,experimento,"det(investigadora, La) | nsubj(describió, investigadora) | ROOT(describió, describió) | det(experimento, el) | obj(describió, experimento)",Baja,Análisis estándar realizado.
65,El sistema clasificó noticias sobre estudiantes destacados,ambigua,['clasificó'],sistema,noticias,"det(sistema, El) | nsubj(clasificó, sistema) | ROOT(clasificó, clasificó) | obj(clasificó, noticias) | case(estudiantes, sobre)",Baja,Análisis estándar realizado.
66,La docente observó al grupo con atención,ambigua,['observó'],docente,grupo,"det(docente, La) | nsubj(observó, docente) | ROOT(observó, observó) | case(grupo, al) | obj(observó, grupo)",Baja,Análisis estándar realizado.
67,El programa analizó la oración del alumno nuevo,ambigua,['analizó'],programa,oración,"det(programa, El) | nsubj(analizó, programa) | ROOT(analizó, analizó) | det(oración, la) | obj(analizó, oración)",Baja,Análisis estándar realizado.
68,El reporte mostró resultados de modelos recientes,ambigua,['mostró'],reporte,resultados,"det(reporte, El) | nsubj(mostró, reporte) | ROOT(mostró, mostró) | obj(mostró, resultados) | case(modelos, de)",Baja,Análisis estándar realizado.
69,La coordinación publicó avisos para alumnos inscritos,ambigua,['publicó'],coordinación,avisos,"det(coordinación, La) | nsubj(publicó, coordinación) | ROOT(publicó, publicó) | obj(publicó, avisos) | case(alumnos, para)",Baja,Análisis estándar realizado.
70,El profesor explicó reglas para estudiantes avanzados,ambigua,['explicó'],profesor,reglas,"det(profesor, El) | nsubj(explicó, profesor) | ROOT(explicó, explicó) | obj(explicó, reglas) | case(estudiantes, para)",Baja,Análisis estándar realizado.
71,La herramienta detectó errores con el módulo nuevo,ambigua,['detectó'],herramienta,errores,"det(herramienta, La) | nsubj(detectó, herramienta) | ROOT(detectó, detectó) | obj(detectó, errores) | case(módulo, con)",Baja,Análisis estándar realizado.
72,El alumno entregó el documento del proyecto final,ambigua,['entregó'],alumno,documento,"det(alumno, El) | nsubj(entregó, alumno) | ROOT(entregó, entregó) | det(documento, el) | obj(entregó, documento)",Baja,Análisis estándar realizado.
73,El modelo revisó textos de noticias locales,ambigua,['revisó'],modelo,textos,"det(modelo, El) | nsubj(revisó, modelo) | ROOT(revisó, revisó) | obj(revisó, textos) | case(noticias, de)",Baja,Análisis estándar realizado.
74,La plataforma mostró respuestas de estudiantes activos,ambigua,['mostró'],plataforma,respuestas,"det(plataforma, La) | nsubj(mostró, plataforma) | ROOT(mostró, mostró) | obj(mostró, respuestas) | case(estudiantes, de)",Baja,Análisis estándar realizado.
75,El equipo comparó ejemplos con estructuras ambiguas,ambigua,['comparó'],equipo,ejemplos,"det(equipo, El) | nsubj(comparó, equipo) | ROOT(comparó, comparó) | obj(comparó, ejemplos) | case(ambiguas, con)",Baja,Análisis estándar realizado.
76,Los alumnos que llegaron tarde entregaron el análisis después de clase,dificil_para_reglas,['entregaron'],"alumnos, que",análisis,"det(alumnos, Los) | nsubj(entregaron, alumnos) | nsubj(llegaron, que) | acl(alumnos, llegaron) | advmod(llegaron, tarde)",Baja,Análisis estándar realizado.
77,El sistema detectó inconsistencias cuando el archivo tenía columnas incompletas,dificil_para_reglas,['detectó'],"sistema, archivo","inconsistencias, columnas","det(sistema, El) | nsubj(detectó, sistema) | ROOT(detectó, detectó) | obj(detectó, inconsistencias) | mark(tenía, cuando)",Baja,Análisis estándar realizado.
78,La interpretación automática falló porque el contexto era insuficiente,dificil_para_reglas,['falló'],"interpretación, contexto",No detectado,"det(interpretación, La) | nsubj(falló, interpretación) | amod(interpretación, automática) | ROOT(falló, falló) | mark(insuficiente, porque)",Baja,Análisis estándar realizado.
79,El modelo que fue entrenado con pocos datos produjo resultados inestables,dificil_para_reglas,['produjo'],"modelo, que",resultados,"det(modelo, El) | nsubj(produjo, modelo) | nsubj(entrenado, que) | aux(entrenado, fue) | acl(modelo, entrenado)",Baja,Análisis estándar realizado.
80,La oración que parecía simple contenía una estructura subordinada,dificil_para_reglas,['oración'],No detectado,"que, contenía, estructura","det(oración, La) | ROOT(oración, oración) | obj(parecía, que) | acl(oración, parecía) | amod(contenía, simple)",Baja,Análisis estándar realizado.
81,El reporte fue rechazado porque no incluía evidencia técnica suficiente,dificil_para_reglas,['rechazado'],reporte,técnica,"det(reporte, El) | nsubj(rechazado, reporte) | aux(rechazado, fue) | ROOT(rechazado, rechazado) | mark(incluía, porque)",Baja,Análisis estándar realizado.
82,La herramienta identificó una raíz incorrecta cuando la oración tenía varios verbos,dificil_para_reglas,['identificó'],"herramienta, oración","raíz, verbos","det(herramienta, La) | nsubj(identificó, herramienta) | ROOT(identificó, identificó) | det(raíz, una) | obj(identificó, raíz)",Baja,Análisis estándar realizado.
83,Los documentos que fueron procesados durante la práctica tenían formatos distintos,dificil_para_reglas,['tenían'],"documentos, que",formatos,"det(documentos, Los) | nsubj(tenían, documentos) | nsubj(procesados, que) | aux(procesados, fueron) | acl(documentos, procesados)",Baja,Análisis estándar realizado.
84,El análisis falló aunque la oración era correcta en español,dificil_para_reglas,['falló'],"análisis, oración",No detectado,"det(análisis, El) | nsubj(falló, análisis) | ROOT(falló, falló) | mark(correcta, aunque) | det(oración, la)",Baja,Análisis estándar realizado.
85,El parser no reconoció la estructura porque faltaba una regla de producción,dificil_para_reglas,['reconoció'],parser,"estructura, regla","det(parser, El) | nsubj(reconoció, parser) | advmod(reconoció, no) | ROOT(reconoció, reconoció) | det(estructura, la)",Baja,Análisis estándar realizado.
86,La salida automática parecía válida aunque la interpretación humana era diferente,dificil_para_reglas,['parecía'],"salida, interpretación",válida,"det(salida, La) | nsubj(parecía, salida) | amod(salida, automática) | ROOT(parecía, parecía) | obj(parecía, válida)",Baja,Análisis estándar realizado.
87,El sistema generó una relación sintáctica incorrecta porque el contexto no era explícito,dificil_para_reglas,['generó'],"sistema, contexto",relación,"det(sistema, El) | nsubj(generó, sistema) | ROOT(generó, generó) | det(relación, una) | obj(generó, relación)",Baja,Análisis estándar realizado.
88,El alumno explicó que el parser falló cuando apareció una subordinada relativa,dificil_para_reglas,['explicó'],"alumno, parser",subordinada,"det(alumno, El) | nsubj(explicó, alumno) | ROOT(explicó, explicó) | mark(falló, que) | det(parser, el)",Baja,Análisis estándar realizado.
89,La oración incluía una construcción que la gramática simple no contemplaba,dificil_para_reglas,['incluía'],"oración, gramática","construcción, que","det(oración, La) | nsubj(incluía, oración) | ROOT(incluía, incluía) | det(construcción, una) | obj(incluía, construcción)",Baja,Análisis estándar realizado.
90,El resultado cambió porque el texto contenía una frase preposicional extensa,dificil_para_reglas,['cambió'],"resultado, texto",frase,"det(resultado, El) | nsubj(cambió, resultado) | ROOT(cambió, cambió) | mark(contenía, porque) | det(texto, el)",Baja,Análisis estándar realizado.
91,El análisis automático asignó una raíz discutible aunque el verbo principal era evidente,dificil_para_reglas,['raíz'],"análisis, verbo",No detectado,"det(análisis, El) | nsubj(raíz, análisis) | amod(análisis, automático) | amod(análisis, asignó) | det(raíz, una)",Baja,Análisis estándar realizado.
92,La comparación mostró diferencias cuando la oración tenía más de un complemento,dificil_para_reglas,['mostró'],"comparación, oración","diferencias, complemento","det(comparación, La) | nsubj(mostró, comparación) | ROOT(mostró, mostró) | obj(mostró, diferencias) | mark(tenía, cuando)",Baja,Análisis estándar realizado.
93,El script procesó el dataset completo aunque algunas relaciones requerían revisión,dificil_para_reglas,['procesó'],"script, relaciones","dataset, revisión","det(script, El) | nsubj(procesó, script) | ROOT(procesó, procesó) | det(dataset, el) | obj(procesó, dataset)",Baja,Análisis estándar realizado.
94,El parser produjo una salida parcial porque varias palabras no estaban en el vocabulario,dificil_para_reglas,['produjo'],"parser, palabras",salida,"det(parser, El) | nsubj(produjo, parser) | ROOT(produjo, produjo) | det(salida, una) | obj(produjo, salida)",Baja,Análisis estándar realizado.
95,El modelo asignó dependencias razonables pero no resolvió la ambigüedad contextual,dificil_para_reglas,['resolvió'],modelo,ambigüedad,"det(modelo, El) | nsubj(resolvió, modelo) | amod(modelo, asignó) | appos(modelo, dependencias) | amod(dependencias, razonables)",Baja,Análisis estándar realizado.
96,La estructura esperada no coincidió con la salida porque había coordinación verbal,dificil_para_reglas,['coincidió'],estructura,"salida, coordinación","det(estructura, La) | nsubj(coincidió, estructura) | amod(estructura, esperada) | advmod(coincidió, no) | ROOT(coincidió, coincidió)",Baja,Análisis estándar realizado.
97,El análisis por reglas rechazó casos que el parser moderno sí pudo procesar,dificil_para_reglas,['rechazó'],análisis,casos,"det(análisis, El) | nsubj(rechazó, análisis) | case(reglas, por) | nmod(análisis, reglas) | ROOT(rechazó, rechazó)",Baja,Análisis estándar realizado.
98,La explicación fue necesaria porque el resultado automático no justificaba la interpretación,dificil_para_reglas,['necesaria'],"explicación, resultado",interpretación,"det(explicación, La) | nsubj(necesaria, explicación) | cop(necesaria, fue) | ROOT(necesaria, necesaria) | mark(justificaba, porque)",Baja,Análisis estándar realizado.
99,El corpus contenía oraciones largas que exigían revisar sujeto objeto y complemento,dificil_para_reglas,['contenía'],"corpus, que","oraciones, objeto","det(corpus, El) | nsubj(contenía, corpus) | ROOT(contenía, contenía) | obj(contenía, oraciones) | amod(oraciones, largas)",Baja,Análisis estándar realizado.
100,La revisión humana permitió distinguir interpretaciones que el algoritmo no separó,dificil_para_reglas,['permitió'],revisión,interpretaciones,"det(revisión, La) | nsubj(permitió, revisión) | amod(revisión, humana) | ROOT(permitió, permitió) | xcomp(permitió, distinguir)",Baja,Análisis estándar realizado.
