id,texto,intencion
82,Entendido muchas gracias,saludo_cierre
83,Entendido muchas gracias,saludo_cierre
84,Saludos cordiales,saludo_cierre
85,Buenos dias profesor,saludo_cierre
86,Saludos cordiales,saludo_cierre
87,Buenos dias profesor,saludo_cierre
88,Saludos cordiales,saludo_cierre
89,Quedo atento a sus comentarios,saludo_cierre
90,Quedo atento a sus comentarios,saludo_cierre
91,Donde solicito el comprobante,tramite_administrativo
92,Como hago el tramite de reinscripcion,tramite_administrativo
93,Necesito constancia de estudios,tramite_administrativo
94,Necesito constancia de estudios,tramite admin
95,Como hago el tramite de reinscripcion,tramite_administrativo
96,Donde solicito el comprobante,tramite_administrativo
97,Como hago el tramite de reinscripcion,tramite_administrativo
98,Como hago el tramite de reinscripcion,tramite_administrativo
99,Necesito constancia de estudios,tramite_administrativo
100,Donde solicito el comprobante,tramite_administrativo
101,Requiero informacion administrativa,tramite_administrativo
102,Cuando entregan boletas,tramite_administrativo
103,Donde solicito el comprobante,tramite_administrativo
104,Requiero informacion administrativa,tramite_administrativo
105,Como hago el tramite de reinscripcion,tramite_administrativo
106,Debemos usar Classroom para el proyecto,consulta_proyecto
107,El proyecto debe incluir confiabilidad,consulta_proyecto
108,El avance del proyecto lleva PDF,consulta_proyecto
109,El avance del proyecto lleva PDF,consulta_proyecto
110,Como integramos normalizacion en el producto,consulta_proyecto
111,Que alcance tiene el proyecto integrador,consulta-proyecto
112,Debemos usar Teams para el proyecto,consulta_proyecto
113,El avance del proyecto lleva PDF,consulta_proyecto
114,Debemos usar Classroom para el proyecto,consulta_proyecto
115,Debemos usar Teams para el proyecto,consulta_proyecto
116,El proyecto debe incluir normalizacion,consulta_proyecto
117,El avance del proyecto lleva notebook,consulta_proyecto
118,Debemos usar Teams para el proyecto,consulta_proyecto
119,El proyecto debe incluir entidades,consulta_proyecto
120,El proyecto debe incluir ambiguedad,consulta_proyecto
