id,texto,palabras_ambiguas,genero
129,Un auténtico bodrio. Una serie de auténticos disparates sin pies ni cabeza. Unos descerebrados personajes que no razonan en ningún momento ni toman ninguna decisión pensada un minuto en el curso de la,curso,Accion
141,"The Umbrella Academy es una serie basada en el cómic de Gerard Way, cantante de la famosa banda My Chemical Romance, y retrata la vida de siete jóvenes con superpoderes y su padre, un genio loco, filá",fuente,Accion
202,"Aunque nada vaya a evitar el habitual, facilón y ya casi populachero linchamiento al bueno de Zack está vez a causa de estos nuevos montajes, hay que decir ¡Bravo!Bravo por no renunciar a su innegocia",clave,Accion
208,"Inestable, la nueva serie cómica de Netflix, y todos sabemos lo que eso significa. Cancelación. Pero no estamos aquí para hablar del futuro de la serie, más bien del presente. ¿Es una buena comedia, o",clave,Comedia
213,"Por lo general, el escepticismo suele invadirme cuando afronto el visionado de proyectos de estas características. Netflix y su relación con los relatos adolescentes, ciertamente, no es algo que me ha",estrella | estrella | linea,Terror
222,"Godzilla Minus One me fascina. No se trata únicamente de un filme de acción desenfrenada sin sentido (como podrían ser sus homónimas americanas), sino que es un drama bélico que nos traslada al Japón ",cabo,Accion
229,"¿Has llegado hasta esta crítica? No sé muy bien cómo. Quizás has hecho como yo, que después de ver la puntuación tan buena de ""Godzilla: menos uno"", tuvieses la curiosidad de saber si eres el único qu",gato,Accion
231,"Conmovedora. Emocionante. Épica. Estamos ante una magnífica fusión de película dramática de posguerra, con cine bélico y películas de monstruos. Parece difícil que de una mezcla tan variopinta y con u",clave,Accion
243,"""Pensándolo bien, este país ha tratado la vida de su gente con demasiado desdén.""Bueno, primera película del año y empezamos bien.Godzilla celebra, a través de esta cinta, los 70 años de la franquicia",linea,Accion
264,"¿A quién debería culpar de las decepciones? A mí mismo. Pues si no me emocionara de al ver buenas notas o ver buenas críticas de una película, no tendría expectativas y si no tengo expectativas, no ex",banco,Accion
268,"""Dime de qué alardeas y te diré de qué careces..."" este viejo adagio nunca falla. La isla del Japón, su machacante supuesto sentido del honor, su cultura milenaria, nos llega como faro cultural de ori",cabo,Accion
286,"Sin complejidades, va muy de frente. Simplemente, es un GRAN guion.  Un GRAN mensaje oculto e inesperado que todos quisiéramos GRITAR a todos los titiriteros del ENGRASADO (con coimas y negociados) SI",banco,Accion
288,"Empecé a ver esta serie con bastante interés y el primer episodio consiguió hacerme creer que estaba ante una serie diferente, con recursos y que se saltaba los estereotipos... Wrong!!!!Élite sólo se ",linea,Drama
298,"Recuerdo en una gala de los Goya como Julián López, Ernesto Sevilla o Joaquín Reyes en una intervención hizo un llamamiento en plan coña para que se contratase a actores jóvenes que se les entendiera ",curso,Drama
302,"""El Big Mac de Netflix: no es la mejor serie del mundo pero devorarás todos sus episodios (...) destaca por su fácil consumo y su entretenimiento práctico.""LOLEl Big Mac de Netflix lo llaman jaja vaya",cabo,Drama
318,"Ya sabemos que la fórmula de Élite no es novedosa, los ingredientes son siempre los mismos: sexo, drogas, alcohol, cuerpos fit, product placement y una buena playlist. Solamente se precisa reajustar l",cabo,Drama
332,Serie entretenidilla en la línea de Física o Química (son los mismos creadores). Ni qué decir que hay sexo y drogas por un tubo así como situaciones en las que los chicos de 16 años en la vida real no,linea,Drama
339,"La primera y la segunda temporada me parecen muy entretenidas, y cumplen con su función de mantener al espectador pegado a la pantalla. He de decir que había algunas escenas en las que me costaba ente",cabo,Drama
340,"La serie es entretenida y engancha el ir sabiendo qué ha pasado y cómo se va resolviendo.En esencia es la versión española de Por Trece Razones, pero con un asesinato (en la primera imagen) en vez de ",clave,Drama
351,"Me veo algo obligado a hacer esta crítica porque la voté en cuanto vi el primer cap y estaba bastante fumado. Como resultado, le puse un 7.Una irresponsabilidad por mi parte (incentivada por las regla",cabo | linea,Drama
365,"He de reconocer que empecé a ver la serie sin ningún tipo de espectativas, pero me animé al ver tantos votos negativos, ya que, cuando éstos se llevan a cabo, es cuando una serie destaca en puntos poc",cabo,Drama
366,"No deja de sorprender la aceptación o rechazo de algunos productos realizados por Netflix, que en casos específicos los proyectos nos son bien vistos en sus países de origen y en el extranjero causan ",clave,Drama
371,Antes de analizar la serie me gustaría hacer un par de consideraciones absolutamente irrelevantes.Élite pretende ser un drama ligero pero los recursos que utiliza a la hora de articular su narrativa l,clave,Drama
396,"Para responder a la pregunta del título, diré que no puedo asegurarlo con ciencia cierta porque el recuerdo de Avatar: La leyenda de Aang (Michael Dante DiMartino, 2005) remonta a mucho tiempo atrás, ",cabo,Aventura
400,"Es una miniserie en que todo parece haber sido hecho por niños o adolescentes, el libreto, la dirección y las actuaciones, todo eso es palpable desde el primer minuto. El humor a menudo resulta forzad",linea,Comedia
418,"Adaptación de un manhwa (que no manga) y cortesía de Corea del Sur, Sweet Home es la nueva serie de Netflix, la cual propone un bizarro cóctel de monstruos, acción y terror. Desde que vi sus primeros ",estrella,Drama
431,"'Sweet Home' es una serie Surcoreana dirigida por Lee Eung-bok, que ya dirigió para la plataforma americana 'Mr. Sunshine' en 2018 con bastante acierto he de decir, y que se basa en el Webtoon homónim",linea,Drama
432,"¿Recuerdas cuando decíamos aquello de ""has visto la peli..."" ""bah, está mejor el libro""? Pues eso. La serie es un nuevo intento de adaptación de un cómic a serie de TV que, como otros, queda en ""inspi",linea,Drama
439,"Visualmente este documental es una pasada. He sentido vértigo en mi sofá. No comparto el jugarse la vida ni por dinero, ni por likes o por fama. Por eso este documental me crea malestar. La gente es d",cabo,Accion
444,"La serie Cobra Kai reinvidica la saga, sobre todo la obra maestra Karate Kid de 1984 que es una película popular y taquillera del director de Rocky con chic@s guap@s y que representa el triunfo final ",cabo,Accion
452,"Vale, lo confieso, solo he visto el primer episodio y esta crítica la escribo en caliente antes de irme a dormir... ¡¿Qué acabo de ver?!  Me he pegado medio episodio con los pelos de punta y con la la",red,Accion
454,"La verdad que estaba bastante reticente cuando me enteré que iba a salir una serie acerca de la mítica ""Karate Kid"". Supongo que era porque pensaba que iba a terminar de mutilar lo que esa infame rema",banco,Accion
460,"*Un inteligente ejercicio de nostalgiaHe de reconocer que cuando tuve conocimiento de la existencia de una secuela en formato serie de Karate Kid, la idea no me sedujo demasiado. Fui de los que crecie",estrella,Accion
468,"Pocas son las ocasiones en las que, resumir de una tacada tres temporadas -15 horas aproximadas- se antoja un ejercicio tan fácil, rápido y cómodo: las dos primeras temporadas homenajearon, inflaron y",linea,Accion
470,"¿Cómo debe ser una serie moderna? ¿Debe ser inclusiva? ¿Woke? ¿Retro? ¿Debe mostrar sexo y violencia descarados? ¿ O debe quizá apelar al corazoncito del espectador? Cada día, las plataformas vomitan ",clave,Accion
474,"Acabo de ver el último capítulo de la 3ª temporada y la verdad es que sé que no se debería escribir en ""caliente"" pero  la verdad es que las sensaciones han sido muy buenas, estoy realmente emocionado",fuente,Accion
487,"Es una pregunta que me hago por varias razones:- Los personajes de la serie son planos, predecibles y poco profundos.- El guión y las premisas centrales de la serie rozan lo absurdo en muchas ocasione",linea | estrella,Accion
492,"Esta serie da lo mejor que puede de si, conserva los personajes  intactos y no solo eso,  los potencia y los humaniza, trayendo  los 80 de oro hasta nuestros  días, obviemos el entrenamiento  en el ca",oro,Accion
493,"Cobra Kai ofrece muchas más cosas de las que se esperaban:- Una revisión adulta e interesante de la primera Karate Kid, dejando a un lado el infantilismo argumental del bueno y el malo y dando un enfo",curso,Accion
494,"Hace unos días, cuando escuché los comentarios por radio, creí que hablaban de una remake china, de Karate kid, como la protagonizada por el hijo de Will Smith y Jackie Chan, porque además no aparecía",radio,Accion
507,"Toda una generación hemos estado marcados por películas como los Gremlins, Willow, Regreso al futuro... y como no, por Karate Kid. Para quienes echábamos de menos el dar cera, pulir cera, podemos reco",linea,Accion
510,"Me habían hablado muy bien de esta serie, pero a ser verdad, no les había hecho caso nunca. No he sido muy fan de las películas de Karate Kid, ni tampoco de todo lo que tenga que ver en relación con e",cabo,Accion
511,"Antes de comenzar Karate Kid de 1984 sera para muchos una obra de culto, pero para mi solo fue una buena película buena con los matices claves de los 80s, que fue bien ejecutado solo para su tiempo. O",clave,Accion
541,"En realidad no responde del todo al género de telenovela, salvo en la lucha de ricos y pobres y en el perfil de la protagonista. Malos malísimos (obviamente los ricos), buenos en principio muy sumisos",clave,Drama
543,"Los países nórdicos y centroeuropeos están resultando ser un buen caladero donde ir a pescar series televisivas más que interesantes. Desde Polonia nos llega esta primera entrega de las nuevas ""chicas",oro,Comedia
550,"Lunes a la noche, invierno en el Río de la Plata.Ella: ¿Y si vemos una peli?Yo: bueno, veamos.Todavía sigo arrepentido de aceptar el convite, así que hago catarsis en FilmAffinity.Uno nunca sabe muy b",plata,Comedia
552,"'Zapeando' por Netflix, me encontré con 'El Campeón'. A favor de esta película, diré que buscaba algún bodrio de sobremesa que hiciera más amena la hora de la siesta. Ya lo intenté con 'Tiburones en e",estrella,Drama
555,"Lo cierto es que el hecho de ser colchonero y ver que la película se basa en la vida de un joven futbolista del equipo y que saldrían muchas escenas relacionadas con el club, fue el motivo que me anim",campo,Drama
556,"Bluff, de verdad que el cine español cuando se pone rollo social, lidiar con la salud mental o historias de superación, consigue sacar la basura más auto-preparada y sencilla que uno haya visto.El Cam",campo,Drama
558,"Carlos Therón nos presenta, en una producción de la gran ""N"", ""El campeón"" drama deportivo y clásica historia de superación de deportista con un don excepcional, pero cabeza completamente desamueblaba",estrella,Drama
565,"Me ha parecido muy interesante, el mensaje que trasmite es maravilloso, se ve muy bien; es amena, colorida,y con unas actrices con una química entre ellas que nos llega.Quien conozca las CONSTELACIONE",cura,Drama
566,"He disfrutado mucho de la serie Vikingos, un producto de muy alta calidad que narra eventos transcurridos en el S. X. Es por eso que, ni bien fue estrenada su continuación, ambientada un siglo más tar",gato,Accion
595,Los aspectos mâs destacables de la serie son su cinematografía y la historiografía que envuelve la trama en la Bogotá de los 70'. Eva es a todas luces aquel espacio umbral que tergiversa los valores i,cabo,Drama
612,"Calificación General: 5.7 / 10""Goyo"" ofrece una exploración conmovedora y a veces desafiante de la vida de un hombre con Asperger que encuentra el amor en circunstancias inesperadas. A continuación, s",clave,Comedia
615,Hay un momento en la vida en el que el recuerdo se convierte en dolor. Ocurre cuando pretendemos traer de vuelta hechos congelados en la memoria para confrontarlos con el presente. Uno tan alejado del,campo,Accion
622,"Esta critica va dirigida a la saga completa, con mención especial a la cuarta película.Debo decir que no era fan acérrimo de este personaje hasta que hace un par de veranos me dio por ver las primeras",oro,Accion
652,"Como dice el título la protagonista es muy mala, sobreactua, no transmite nada al público y encima su personaje es muy línea o y predecible. Se le dio el papel por su amistad con la dirección de la pe",linea,Comedia
653,"Comedia en la que Arantxa Echevarría pretende hacer satirizar (no siempre le sale) la política patria, fusionando las crispaciones ideológicas con otros capítulos como el amor, la amistad o la admirac",sierra,Comedia
655,"¡Arantxa Echevarría promete mucho!, ¡Esta bilbaína es una directora todoterreno!; ¡Lo mismo hace comedias como ""La familia perfecta"" que dramas como ""Carmen y Lola"" o más recientemente ""Chinas""!Ahora,",campo | clave,Comedia
660,"De 'Políticamente incorrectos' no esperaba la cumbre del humor del cine español cuando vi en su momento el tráiler, pero sí que es verdad que tenía un material sobre el que se le podía sacar mucho ren",oro,Comedia
668,"Cuenta la historia de una estrella de cine. Una especie de buscador de emociones, con mucho dinero, bastante soledad y pocas cosas auténticas a su alrededor.  Chris es incapaz de comprometerse... Se h",estrella,Comedia
669,"Dirigida por Richard LaGravenese  y protagonizada por Nicole Kidman, Zack Efron,  Joey King y Kathy Bates.SinopsisUn sorprendente romance desencadena cómicas consecuencias para una joven, su madre y s",estrella,Comedia
675,"Una madre, una hija y el jefe de esta última, una estrella de Hollywood.¿Típico triángulo amoroso? ¿Una especie de remake no declarado de El graduado?Pues la verdad es que no. Sin desvelar nada, lo me",estrella,Comedia
692,"Poco más hay que decir, sin alma y lenta,Si ves un culebrón de esos sudamericanos, estás viendo esta serie en el fondo. Salvo esos nombres tan largos antes de llegar al apellido.No tiene sentido ningu",linea,Drama
699,"Dirigida por Mouly Surya  y protagonizada por Jessica Alba, Mark Webber, Anthony Michael Hall y Gabriel Basso.SinopsisParker, comandante de las Fuerzas Especiales, está en servicio activo en el extran",cabo | linea,Accion
720,Si lo que usted quiere es reflexionar sobre la existencia y su ontología no vea esta serie. Tampoco si quiere estudiar problemática social ni ahondar sobre tiempos históricos o indagar sobre la natura,linea,Drama
728,"Rodrigo Sorogoyen e Isabel Peña, buenos creadores coguionistas habituales que se compenetran como los engranajes de un reloj de precisión, construyen la historia de esta película ""As bestas"" inspiránd",clave,Drama
733,"Hablando en plata, no me temblaría lo más mínimo la voz en decir que estamos ante lo que es la película o una de las películas del año.Rodrigo Sorogoyen, conocido por proyectos como 'El Reino', 'Antid",plata,Drama
738,"""Solo las bestias"", con Denis Ménochet, película francesa de 2019. Ambiente rural.""As bestas"", con Denis Ménochet, película española de 2022. Ambiente rural.Uhmmm...!!!!.Que curioso. Esta misma sensac",campo,Drama
746,"Voy a resumir:Guión fallido, pretencioso. Al fin y al cabo todo está inventado y si no miren Raices Profundas, viene a ser lo mismo pero en Galicia, siglo XXI (o eso creo porque, aunque aparecen model",cabo,Drama
747,"Veo que la propuesta ha sido financiada por entidades e instituciones de alto rango, esto es, Gobierno de España, de Cataluña,, de Francia, RTVE, Canal Plus... vamos, organismos poderosos del Estado y",linea,Drama
751,"Grandiosa y soberbia la nueva película de Rodrigo Sorogoyen (El reino, Antidisturbios). Ojito con este chico madrileño que apunta bien alto, y con esta película se ha considerado ya como uno de los gr",cabo,Drama
752,"Sinceramente, si esta es la mejor o unas de las mejores películas ""españolas"" del año, no me quiero imaginar como serán el resto. A mi me ha parecido una película demasiado larga y muy sobrevalorada.H",clave,Drama
753,Trataré de ser breve porque ya hay 219 reseñas escritas en FA sobre esta película.Coincido plenamente con quienes se mantuvieron pegados a la pantalla durante los primeros 90-95  minutos. El ritmo pau,campo,Drama
763,"ARGUMENTOAntoine y Olga dejaron la vida urbanita que tenían en Francia, y se instalaron en una aldea perdida en un monte de Galicia, para dar rienda suelta a su ecologismo y su espíritu naturista cult",oro,Drama
764,"Antes que nada, aconsejo a aquellos que se dispongan a disfrutar de ésta espectacular película, que no se les ocurra ver antes el documental Santoalla, ya que les destrozaría el factor sorpresa de ést",campo | linea,Drama
780,"Sorogoyen me gusta mucho. As Bestas no.Una propuesta arriesgada, que si bien es de agradecer en los tiempos que corren, no puede huir de lo que inherentemente le juega en contra.Su mayor problema: per",cabo,Drama
781,"Aunque trabajada en la forma, a mí me resulta inconexa en varios puntos. Así, a bote pronto, una vez terminada su visión, a pesar de su desmedida duración, no entiendo el sentido de esa especie de pró",oro,Drama
787,"Basado en historia real, siendo una adaptación de la misma.Un matrimonio francés decide afincarse  en un remoto pueblo gallego. Aunque consiguen trabar amistad con algunas personas, sus vecinos en cam",campo,Drama
800,"No me ha defraudado para nada este último trabajo de Rodrigo Sorogoyen y eso que mi actitud era un poco distante y no estaba dispuesto a todo lo que me quisieran contar, pero ha sido comenzar la pelíc",campo,Drama
803,"21/21(23/01/23) Cautivador thriller rural (con su pero en el tramo final), especie de western hispano (aunque de producción francesa), te atrapa desde su potente inicio, sumergiéndote en una atmósfera",campo,Drama
805,"Película que hace pocas horas que he visto y de la que saco una buena impresión. Mucha imagen, diálogos los precisos, tempo lento pero adecuado, buena puesta en escena y un reparto excelente.El título",campo | campo,Drama
809,"La oferta económica de una empresa energética que quiere instalar una planta eólica plantea un grave conflicto entre los vecinos de una aldea que sí quieren vender su tierra, por un lado, y una pareja",planta,Drama
825,Esta es una historia de pelea y predominio entre bestias. Bestias humanas que viven en la salvaje civilización y harán lo que crean necesario para probar su superioridad y mantener sus principios.Con ,campo | campo,Drama
838,"Redoble de tambores para Rodrigo Sorogoyen que vuelve más fuerte que nunca para presentarnos AS BESTAS, un excelente thriller gallego con aires de western y superioridad cinematográfica impregnada en ",clave,Drama
844,"Lo han vuelto a hacer, el tandem creativo formado por Rodrigo Sorogoyen e Isabel Peña nos regala una película con una historia muy potente y una ejecución cinematográfica excelente.La historia de Anto",clave,Drama
883,"Debo comenzar esta reseña señalando que considero que Rodrigo Sorogoyen quizás sea la piedra angular del cine contemporáneo de este Estado. Existen dos Sorogoyen distintos, uno me apasiona más que el ",cabo,Drama
884,"Leía hace no mucho por Twitter que con tanta producción de ""energía verde"", ""hidrógeno verde"", ""combustibles verdes"" y demás lo único que no iba a quedar verde en poco tiempo serían los montes. No se ",capital | capital,Drama
885,"La gran verdad de la violencia nos ahoga en un abrazo sin escapatoria, que clama la libertad de unos en el final del proyecto inacabado de otros.Sorogoyen apuesta en este, su último largometraje, por ",linea,Drama
894,"Coincido con la valoración general, un 7,8 para una de las mejores películas que he visto este año.En esta cinta Rodrigo Sorogoyen no defrauda, sobre todo cuando el director cuenta con antecedentes co",gato,Drama
904,"Una pareja de franceses viven en una aldea rural de Galicia donde tienen un huerto ecológico y se dedican a vender lo que cultivan, además de arreglar las casas viejas y abandonadas de la aldea con la",campo,Drama
906,"Thriller dramático poderoso y enérgico, cargado de odio, xenofobia, venganza... Una tensión tan densa y palpable que hiela la sangre.Un prodigio rural malsano en casi todo su metraje. Un volcán al bor",capital,Drama
913,"Los que tenemos unos años y, además, somos frikis del cine, recordamos muchas peíiculas con argumento parecido o similar a la de Sorogoyen.El enfrentamiento del mundo rural contra el mundo urbano y, e",campo | campo | campo | campo | campo,Drama
922,"Tras codirigir la excelente miniserie “Antidisturbios” y la entrega “El doble” de Historias para no dormir, Rodrigo Sorogoyen ha vuelto al largometraje después del más que interesante “Madre” con este",campo,Drama
930,"Lo de Sorogoyen no tiene nombre. No se cansa el tipo de hacer películas, series o episodios con los que demostrar una y otra vez que, por derecho propio, es el director nacional más en forma del panor",linea,Drama
932,"Una de las mejores películas del año y, posiblemente, la mejor de su director. Es cierto que su parte final baja mucho en intensidad y ritmo pero el camino hasta ahí es perfecto. Gran parte del mérito",cabo,Drama
940,"Aquí, el problema que tengo para hacer la valoración es la escala, porque a Buena le asigna un 7; número que en cualquier otro lado significa Notable, y yo creo que Notable no es, es simplemente Buena",campo,Drama
952,"Esta película española, exhibida en Cannes y premiada en San Sebastián, está considerada como una de las mejores del año en la península ibérica. Dirigida por Rodrigo Sorogoyen, cuenta con 17 nominaci",fuente,Drama
954,"*Lugareños versus foráneosEn As bestas se presenta un dilema. ¿Quién posee mas derecho sobre la tierra? ¿Quién ha nacido en ella, aunque desee partir en busca de mejores condiciones? o ¿Quién se ha in",campo,Drama
986,"Voy a ser breve.Sweet Tooth es una pasable serie de aventuras que puede pasar desapercibida por cualquiera, niños con mutaciones animales denominados híbridos que nacen posterior a una pandemia viral ",curso,Aventura
988,La primer temporada consta de 8 capítulos que fueron rodados en su mayoría en Nueva Zelanda lugar de  hermosos paisajes naturales lo que nos brinda un deleite visual. Robert Downey Jr. junto a su espo,cura | cura,Aventura
992,A ver la serie no está mal pero tampoco es como para tirar cohetes. Creo que gusta tanto a la gente porque va de un tema de máxima actualidad.Es una serie de Ciencia Ficción con escenarios postapocalí,cura,Aventura
1000,"Para echar un rato riéndote de tantas chorradas.Comencemos por lo básico, que es que haya un tiburón en el Sena. Normal que los (las) ecologistas quieran sacarlo de ahí, con la contaminación que hay, ",cabo,Accion
1051,"''Ni una más'', por lo que puede ganar al espectador que tiene la sensibilidad necesaria para entenderlo, es porque presenta el gris de una temática cuyo color se vive en blanco y negro, el consentimi",sierra | linea,Drama
1060,"*Todo santo tiene un pasado…Tras la sorpresiva desaparición del hijo de un narcisista y alcohólico titiritero (Benedict Cumberbatch) y una entregada madre (Gaby Hoffmann), hará que todo un equipo coma",red,Drama
1065,Una serie que te atrae por el protagonismo del siempre eficaz actor Benedict Cumberbatch. Transcurre en NYC en tiempos que recuerdan el ambiente peligroso en las calles de Taxi Driver. Demasiados fren,oro,Drama
1069,"Amable comedia con ligeros toques románticos y dramáticos. Con un comienzo que puede hacer que tu escepticismo se manifieste, resulta fácil de seguir y digerir, si optas por continuar con el visionado",estrella | oro,Comedia
1070,"Pésima es decir poco.Las escenas de acción, con ver la inicial, te haces una idea, que parece rodada por unos aficionados, que solo les falta reírse, el guion es de chiste, y es lo mejor que se puede ",linea,Accion
1074,"Una joven llamada Monika Bogucka (Zofia Jastrzebska) es encontrada muerta en una playa de Triciudad en la parte polaca del Golfo de Gdansk, tras encontrar al supuesto culpable de forma muy sencilla, L",linea,Drama
1077,"Lo mejor de esta pelicula son sus críticas, y el galardón a la mejor crítica se lo doy a Rafael Sanchez de Esquire que comenta entre otras cosas muy divertidas como esta película es ""mala pero no abur",clave,Accion
1078,"Como ya es habitual en nuestra amiga J.Lo, aquí presentamos otra obra que parece extraída de los archivos de películas de serie B de los años 80, donde el guión y la dirección se centraban en resaltar",linea,Accion
1082,"No destaca nada de nada.Ni guion, ni fotografía, ni mucho menos Jennifer López.Es cierto, como ha comentado la crítica, si vas al aseo y dejas la película de fondo, cuando vuelves no hechas nada de me",linea,Accion
1088,"Una cinta que acaba siendo una colección de tópicos y lugares comunes dentro de la ciencia ficción pero que ni siquiera parece tomarse el género con un mínimo de rigor o seriedad, y acaba regurgitando",estrella,Accion
1096,"Dirigida por Brad Peyton y protagonizada por Jennifer Lopez, Simu Liu, Sterling K. Brown y Mark Strong.SinopsisUna analista de inteligencia se queda varada en un planeta lejano y debe aprender a utili",estrella,Accion
1100,"Mucho hype tenia por esta peli, aunque me olía que la participación de Lopez me haría arrepentirme, y vamos que así fue, se la pasa quejándose y soltando tacos toda la puñetera película.Es una mala co",oro,Accion
1109,"Amblin Entertainment, Colin Trevorrow, Frank Marshall, Steven Spielberg, o quien sea en Universal y en Netflix, se niegan a dejar descansar su gallina de los huevos de oro.¿Y para qué nos vamos a enga",oro | oro,Aventura
1120,"Tiene un arranque espectacular con unas espectaculares escenas de acción, eso si los personajes son muy estereotipados y un poco de cartón piedra   como suele pasar en el cine asiático más comercial. ",linea,Accion
1124,"Hoy vamos a ver cómo preparar un simple blockbuster al estilo reality asiático. Delicioso para todos los verdaderamente amantes de la sobreactuación, los personajes estereotipados y la degeneración de",clave,Terror
1125,Las comparaciones casi siempre son odiosas. Me pregunto que hubiese ocurrido de haber sido al revés. ¿Qué hubiese pasado si “El Juego del Calamar” se hubiese estrenado después de “The 8 Show”? ¿Se la ,curso,Terror
1142,"Un hábil secuestrador, luego resulta ser muy torpe a la hora de custodiar a los niños  secuestrados. Pero no solo eso, los secuestrados son un niño de unos 10 años y una niña de unos 12, ¡¡pues no va ",planta,Terror
1157,"La mitología griega siempre ha sido una inagotable fuente de inspiración, pero no siempre (digamos, más bien: prácticamente nunca) se han hecho series o películas que realmente hagan justicia a estas ",fuente,Accion
1166,"Una periodista, un podcaster y una novata viajan a un lugar remoto de Irlanda para indagar sobre unas misteriosas desapariciones ocurridas décadas atrás; los hechos demostrarán que el caso está más vi",oro,Comedia
1176,"Imagínate mezclar en una batidora ‘’Los increíbles’’ de Pixar, ‘’Parásitos’’ de Bong Joon-ho y un ligero toque de ‘’Un asunto de familia’’ de Hirokazu Koreeda. Cuando la mezcla adquiera una textura de",vela,Drama
1183,"Una esforzadísima película, de una factura asombrosamente veraz en lo técnico y en lo visual. Vivimos en un mundo en el que buena parte de lo que vemos en el cine es digital, es pura mentira impostada",linea,Aventura
1186,"VALLE DE SOMBRAS viene a realizarnos un paseo de senderismo sin movernos de las butacas, y lo hace con tintes españoles.Salvador Calvo dirige este drama con tintes de crimen y aventura liderado por Mi",cabo,Aventura
1214,"Miniserie de Netflix dirigida por David E. Kelley y basada en una novela de Tom Wolfe, ""Todo un hombre"" es una ácida crítica sobre las relaciones personales y laborables entre la gente de dinero centr",banco,Drama
1223,*La adopción que no debió serEl caso Asunta se sirve de un cruento y muy famoso hecho real para armar una efectiva y vibrante true crime. El 21 de septiembre de 2013 dos padres denunciaban la separaci,raton,Drama
1225,"Adaptación en ficción de un caso real que conmocionó a  España a finales de 2013. Conmocionó por las características del caso, entre ellas, lo inesperado del perfil de la madre y su pareja. Su extracc",linea,Drama
