id,texto,tipo_esperado,raiz_detectada,sujeto_detectado,objeto_detectado,dependencias_principales,posible_dificultad,observacion_automatica
64,La investigadora describió el experimento con precisión,ambigua,['describió'],investigadora,experimento,"det(investigadora, La) | nsubj(describió, investigadora) | ROOT(describió, describió) | det(experimento, el) | obj(describió, experimento)",Baja,Estructura analizada sin anomalías.
65,El sistema clasificó noticias sobre estudiantes destacados,ambigua,['clasificó'],sistema,noticias,"det(sistema, El) | nsubj(clasificó, sistema) | ROOT(clasificó, clasificó) | obj(clasificó, noticias) | case(estudiantes, sobre)",Baja,Estructura analizada sin anomalías.
66,La docente observó al grupo con atención,ambigua,['observó'],docente,grupo,"det(docente, La) | nsubj(observó, docente) | ROOT(observó, observó) | case(grupo, al) | obj(observó, grupo)",Baja,Estructura analizada sin anomalías.
67,El programa analizó la oración del alumno nuevo,ambigua,['analizó'],programa,oración,"det(programa, El) | nsubj(analizó, programa) | ROOT(analizó, analizó) | det(oración, la) | obj(analizó, oración)",Baja,Estructura analizada sin anomalías.
68,El reporte mostró resultados de modelos recientes,ambigua,['mostró'],reporte,resultados,"det(reporte, El) | nsubj(mostró, reporte) | ROOT(mostró, mostró) | obj(mostró, resultados) | case(modelos, de)",Baja,Estructura analizada sin anomalías.
69,La coordinación publicó avisos para alumnos inscritos,ambigua,['publicó'],coordinación,avisos,"det(coordinación, La) | nsubj(publicó, coordinación) | ROOT(publicó, publicó) | obj(publicó, avisos) | case(alumnos, para)",Baja,Estructura analizada sin anomalías.
70,El profesor explicó reglas para estudiantes avanzados,ambigua,['explicó'],profesor,reglas,"det(profesor, El) | nsubj(explicó, profesor) | ROOT(explicó, explicó) | obj(explicó, reglas) | case(estudiantes, para)",Baja,Estructura analizada sin anomalías.
71,La herramienta detectó errores con el módulo nuevo,ambigua,['detectó'],herramienta,errores,"det(herramienta, La) | nsubj(detectó, herramienta) | ROOT(detectó, detectó) | obj(detectó, errores) | case(módulo, con)",Baja,Estructura analizada sin anomalías.
72,El alumno entregó el documento del proyecto final,ambigua,['entregó'],alumno,documento,"det(alumno, El) | nsubj(entregó, alumno) | ROOT(entregó, entregó) | det(documento, el) | obj(entregó, documento)",Baja,Estructura analizada sin anomalías.
73,El modelo revisó textos de noticias locales,ambigua,['revisó'],modelo,textos,"det(modelo, El) | nsubj(revisó, modelo) | ROOT(revisó, revisó) | obj(revisó, textos) | case(noticias, de)",Baja,Estructura analizada sin anomalías.
74,La plataforma mostró respuestas de estudiantes activos,ambigua,['mostró'],plataforma,respuestas,"det(plataforma, La) | nsubj(mostró, plataforma) | ROOT(mostró, mostró) | obj(mostró, respuestas) | case(estudiantes, de)",Baja,Estructura analizada sin anomalías.
75,El equipo comparó ejemplos con estructuras ambiguas,ambigua,['comparó'],equipo,ejemplos,"det(equipo, El) | nsubj(comparó, equipo) | ROOT(comparó, comparó) | obj(comparó, ejemplos) | case(ambiguas, con)",Baja,Estructura analizada sin anomalías.
